tour,place,prize,team
Dota2 Professional League Season 1,15,"$5,000",CDEC Avenger
Dota2 Professional League Season 1,16,"$5,000",Brave Heart
Dota2 Professional League Season 1,17,"$5,000",We Are Young
Dota2 Professional League Season 1,18,"$5,000",Template:OrdinalWritten/18
Dota2 Professional League Season 1,19,"$5,000",DUOBAO
Dota2 Professional League Season 1,20,"$5,000",EHOME.Luminous
Dota2 Professional League Season 1,21,"$5,000",Avalon Club
Dota2 Professional League Season 1,22,"$5,000",Thunderobot Gaming
G-League 2016,1,"$37,410",TongFu
G-League 2016,2,"$14,964",Invictus Gaming
G-League 2016,3,"$2,993",Newbee Young
G-League 2016,3,"$2,993",CDEC Avenger
G-League 2016,3,"$2,993",CDEC Gaming
G-League 2016,3,"$2,993",To.be.or.not.to.be
G-League 2016,3,"$2,993",Wings Gaming
G-League 2016,3,"$2,993",iG Vitality
G-League 2016,3,"$2,993",DUOBAO
G-League 2016,3,"$2,993",FTD club C
G-League 2016,3,"$2,993",EHOME
G-League 2016,3,"$2,993",G.star
G-League 2016,3,"$2,993",Vici Gaming
G-League 2016,3,"$2,993",FTD club A
G-League 2016,3,"$2,993",CDEC Youth
National Electronic Arena 2016,1,"$120,216",Invictus Gaming
National Electronic Arena 2016,2,"$37,568",Newbee
National Electronic Arena 2016,3,"$22,541",CDEC Gaming
National Electronic Arena 2016,4,"$15,027",Newbee Young
DreamLeague Season 5,1,"$50,000",OG
DreamLeague Season 5,2,"$25,000",Natus Vincere
DreamLeague Season 5,3,"$15,000",Virtus.pro
DreamLeague Season 5,4,"$10,000",No Diggity
World Cyber Arena 2016 SEA Qualifiers,1,"$30,554",WarriorsGaming.Unity
World Cyber Arena 2016 SEA Qualifiers,2,"$15,277",TNC Pro Team
World Cyber Arena 2016 SEA Qualifiers,3,"$7,639",MVP Phoenix
World Cyber Arena 2016 SEA Qualifiers,4,"$1,528",Signature.Trust
World Cyber Arena 2016 SEA Qualifiers,5,"$1,528",Execration
World Cyber Arena 2016 SEA Qualifiers,5,"$1,528",The Mongolz
World Cyber Arena 2016 SEA Qualifiers,5,"$1,528",Mineski.Sports5
World Cyber Arena 2016 SEA Qualifiers,5,"$1,528",Orange.Taring
World Cyber Arena 2016 Chinese Qualifiers S1,1,"$30,500",Wings Gaming
World Cyber Arena 2016 Chinese Qualifiers S1,2,"$15,275",Vici Gaming Reborn
World Cyber Arena 2016 Chinese Qualifiers S1,3,"$7,638",TongFu
World Cyber Arena 2016 Chinese Qualifiers S1,4,"$1,528",CDEC Youth
World Cyber Arena 2016 Chinese Qualifiers S1,5,"$1,528",FTD club A
World Cyber Arena 2016 Chinese Qualifiers S1,5,"$1,528",Newbee
World Cyber Arena 2016 Chinese Qualifiers S1,7,"$1,528",Insane Buster
World Cyber Arena 2016 Chinese Qualifiers S1,7,"$1,528",Invictus Gaming
Captains Draft 3.0,1,"$43,454",Evil Geniuses
Captains Draft 3.0,2,"$28,555",Vega Squadron
Captains Draft 3.0,3,"$18,623",Alliance
Captains Draft 3.0,4,"$12,415",Mamas Boys
Captains Draft 3.0,5,"$6,208",Team Liquid
Captains Draft 3.0,5,"$6,208",Team Empire
Captains Draft 3.0,7,"$4,345",Digital Chaos
Captains Draft 3.0,7,"$4,345",Virtus.pro
Dota 2 Canada Cup Season 6,1,"$24,458",compLexity Gaming
Dota 2 Canada Cup Season 6,2,"$12,229",Elite Wolves
Dota 2 Canada Cup Season 6,3,"$4,076",Infamous
Dota 2 Canada Cup Season 6,3,"$4,076",Digital Chaos
Dota 2 Canada Cup Season 6,3,"$4,076",Not Today
Dota 2 Canada Cup Season 6,3,"$4,076",Shazam
Dota 2 Canada Cup Season 6,3,"$4,076",Team Archon
Dota 2 Canada Cup Season 6,3,"$4,076",Team Leviathan
Dota 2 Canada Cup Season 6,3,"$4,076",Team Mischief
Dota 2 Canada Cup Season 6,3,"$4,076",FDL
Dota 2 Canada Cup Season 6,3,"$4,076",paiN Gaming
Dota 2 Canada Cup Season 6,3,"$4,076",T Show
Dota 2 Canada Cup Season 6,3,"$4,076",Power of Friendship
Dota 2 Canada Cup Season 6,3,"$4,076",Void Boys
Dota 2 Canada Cup Season 6,3,"$4,076",Slayers of Gods
Dota 2 Canada Cup Season 6,3,"$4,076",Boreal eSports
Shanghai Dota 2 Open #1,1,"$30,736",EHOME
Shanghai Dota 2 Open #1,2,"$15,368",Newbee
Shanghai Dota 2 Open #1,3,"$7,684",Newbee Young
Shanghai Dota 2 Open #1,3,"$7,684",Vici Gaming
Shanghai Dota 2 Open #1,3,"$7,684",CDEC Gaming
Shanghai Dota 2 Open #1,3,"$7,684",Invictus Gaming
Shanghai Dota 2 Open #1,3,"$7,684",LGD Gaming
Shanghai Dota 2 Open #1,3,"$7,684",iG Vitality
ECL 2015 Autumn,1,"$20,030",CDEC Gaming
ECL 2015 Autumn,2,"$7,704",CDEC Youth
ECL 2015 Autumn,3,"$3,082",Invictus Gaming
ECL 2015 Autumn,3,"$3,082",FTD club B
ECL 2015 Autumn,3,"$3,082",iG Vitality
ECL 2015 Autumn,3,"$3,082",Newbee Young
ECL 2015 Autumn,3,"$3,082",FTD club C
ECL 2015 Autumn,3,"$3,082",Wings Gaming
ECL 2015 Autumn,3,"$3,082",Thunderobot Gaming
ECL 2015 Autumn,3,"$3,082",Vici Gaming Potential
ECL 2015 Autumn,3,"$3,082",TongFu
ECL 2015 Autumn,3,"$3,082",Brave Heart
ECL 2015 Autumn,3,"$3,082",DUOBAO
ECL 2015 Autumn,3,"$3,082",EHOME.Keen
ECL 2015 Autumn,3,"$3,082",FTD club A
ECL 2015 Autumn,3,"$3,082",E-Sports Dream
Dota 2 Radiant & Dire Cup 2015,1,"$61,929",EHOME
Dota 2 Radiant & Dire Cup 2015,2,"$30,965",CDEC Youth
Dota 2 Radiant & Dire Cup 2015,3,"$18,579",Vici Gaming
Dota 2 Radiant & Dire Cup 2015,4,"$12,386",iG Vitality
Dota 2 Radiant & Dire Cup 2015,5,"$7,741",CDEC Gaming
Dota 2 Radiant & Dire Cup 2015,5,"$7,741",LGD Gaming
Dota 2 Radiant & Dire Cup 2015,7,"$7,741",Team FanTuan
Dota 2 Radiant & Dire Cup 2015,7,"$7,741",Newbee Young
Dota 2 Champions League Christmas Charity Magic,1,"$20,090",Virtus.pro
Dota 2 Champions League Christmas Charity Magic,2,"$10,045",HellRaisers
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",Team Spirit
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",Prodota Gaming
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",Team Empire
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",PRIES
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",London Conspiracy
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",Arcade.PowerRangers
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",NoLifer5
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",No Logic Gaming
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",Natus Vincere
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",Siberian Valenki
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",ThePuck
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",OneHeroSpammers
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",4 Clover & Lepricon
Dota 2 Champions League Christmas Charity Magic,3,"$5,023",Elements Pro
The Defense Season 5,1,"$39,293",Team Liquid
The Defense Season 5,2,"$19,647",OG
The Defense Season 5,3,"$11,788",Alliance
The Defense Season 5,4,"$7,859",ALTERNATE aTTaX
The Defense Season 5,4,"$7,859",4 Clover & Lepricon
The Defense Season 5,4,"$7,859",Vega Squadron
The Defense Season 5,4,"$7,859",Virtus.pro
The Defense Season 5,4,"$7,859",Ninjas in Pyjamas
The Defense Season 5,4,"$7,859",Power Rangers
The Defense Season 5,4,"$7,859",Team Empire
The Defense Season 5,4,"$7,859",compLexity Gaming
The Defense Season 5,4,"$7,859",ScaryFaceZ
The Defense Season 5,4,"$7,859",STARK
The Defense Season 5,4,"$7,859",Danish Bears
The Defense Season 5,4,"$7,859",Newteam123123
The Defense Season 5,4,"$7,859",Monkey Freedom Fighters
The Defense Season 5,4,"$7,859",Golden Boys
The Defense Season 5,4,"$7,859",Lemondogs
ASUS ROG DreamLeague Season 4,1,"$55,000",OG
ASUS ROG DreamLeague Season 4,2,"$30,000",Team Empire
ASUS ROG DreamLeague Season 4,3,"$20,000",4 Clover & Lepricon
ASUS ROG DreamLeague Season 4,4,"$15,000",Alliance
ASUS ROG DreamLeague Season 4,5,"$12,000",Vega Squadron
ASUS ROG DreamLeague Season 4,6,"$10,000",Monkey Freedom Fighters
ASUS ROG DreamLeague Season 4,7,"$5,000",No Logic Gaming
ASUS ROG DreamLeague Season 4,8,"$3,000",Ninjas in Pyjamas
PGL Dota 2 Pro-AM,1,"$15,000",CIS Rejects
PGL Dota 2 Pro-AM,2,"$6,000",Team Empire
PGL Dota 2 Pro-AM,3,"$2,500",No Logic Gaming
PGL Dota 2 Pro-AM,3,"$2,500",Walrus Punch!
PGL Dota 2 Pro-AM,5,"$1,000",Team Bad English
PGL Dota 2 Pro-AM,5,"$1,000",Natus Vincere
PGL Dota 2 Pro-AM,5,"$1,000",London Conspiracy
PGL Dota 2 Pro-AM,5,"$1,000",Arcade.PowerRangers
PGL Dota 2 Pro-AM,5,"$1,000",4 Clover & Lepricon
PGL Dota 2 Pro-AM,5,"$1,000",NoLifer5
PGL Dota 2 Pro-AM,5,"$1,000",Siberian Valenki
PGL Dota 2 Pro-AM,5,"$1,000",Reasonable Doubt
PGL Dota 2 Pro-AM,5,"$1,000",Fantastic Five
PGL Dota 2 Pro-AM,5,"$1,000",ScaryFaceZ
PGL Dota 2 Pro-AM,5,"$1,000",GOOMBA Gaming
PGL Dota 2 Pro-AM,5,"$1,000",STARK
Dota 2 Champions League Season 6,1,"$25,000",Team Liquid
Dota 2 Champions League Season 6,2,"$12,500",Team Empire
Dota 2 Champions League Season 6,3,"$7,500",OG
Dota 2 Champions League Season 6,4,"$5,000",Golden Boys
Dota 2 Champions League Season 6,4,"$5,000",Alliance
Dota 2 Champions League Season 6,4,"$5,000",Ninjas in Pyjamas
Dota 2 Champions League Season 6,4,"$5,000",CIS Rejects
Dota 2 Champions League Season 6,4,"$5,000",HellRaisers
Dota 2 Champions League Season 6,4,"$5,000",No Logic Gaming
Dota 2 Champions League Season 6,4,"$5,000",4 Clover & Lepricon
Dota 2 Champions League Season 6,4,"$5,000",PRIES
Dota 2 Champions League Season 6,4,"$5,000",Kaipi
Dota 2 Champions League Season 6,4,"$5,000",Fantastic Five
Dota 2 Champions League Season 6,4,"$5,000",Natus Vincere
Dota 2 Champions League Season 6,4,"$5,000",Monkey Freedom Fighters
Dota 2 Champions League Season 6,4,"$5,000",Arcade.PowerRangers
World Cyber Arena 2015 - SEA Pro Qualifiers,1,"$47,280",MVP Phoenix
World Cyber Arena 2015 - SEA Pro Qualifiers,2,"$23,640",TNC Pro Team
World Cyber Arena 2015 - SEA Pro Qualifiers,3,"$15,760",Fnatic
World Cyber Arena 2015 - SEA Pro Qualifiers,4,"$3,152",Signature.Trust
World Cyber Arena 2015 - SEA Pro Qualifiers,5,"$3,152",Mineski
World Cyber Arena 2015 - SEA Pro Qualifiers,5,"$3,152",Team SatuDuaTiga
World Cyber Arena 2015 - SEA Pro Qualifiers,5,"$3,152",MVP HOT6ix
World Cyber Arena 2015 - SEA Pro Qualifiers,5,"$3,152",4Hate
World Cyber Arena 2015 - European Pro Qualifiers,1,"$45,000",Team Secret
World Cyber Arena 2015 - European Pro Qualifiers,2,"$22,500",Virtus.pro
World Cyber Arena 2015 - European Pro Qualifiers,3,"$15,000",Ninjas in Pyjamas
World Cyber Arena 2015 - European Pro Qualifiers,4,"$3,000",Alliance
World Cyber Arena 2015 - European Pro Qualifiers,5,"$3,000",Natus Vincere
World Cyber Arena 2015 - European Pro Qualifiers,5,"$3,000",Vega Squadron
World Cyber Arena 2015 - European Pro Qualifiers,5,"$3,000",Team Empire
World Cyber Arena 2015 - European Pro Qualifiers,5,"$3,000",(monkey) Business
Gaming Paradise 2015,1,"$30,000","<img alt="""" height=""24"" src=""/commons/images/1/10/Gold.png"" width=""24""/>"
G-League 2015,1,"$32,220",LGD Gaming
G-League 2015,2,"$8,055",CDEC Gaming
G-League 2015,3,"$1,611",HyperGloryTeam
G-League 2015,3,"$1,611",TongFu
G-League 2015,3,"$1,611",Energy Pacemaker
G-League 2015,3,"$1,611",Newbee
G-League 2015,3,"$1,611",Immortal Magneto
G-League 2015,3,"$1,611",Vici Gaming Potential
World Cyber Arena 2015 - Chinese Pro Qualifiers,1,"$47,895",LGD Gaming
World Cyber Arena 2015 - Chinese Pro Qualifiers,2,"$23,948",CDEC Gaming
World Cyber Arena 2015 - Chinese Pro Qualifiers,3,"$15,965",Invictus Gaming
World Cyber Arena 2015 - Chinese Pro Qualifiers,4,"$3,193",HyperGloryTeam
World Cyber Arena 2015 - Chinese Pro Qualifiers,5,"$3,193",EHOME
World Cyber Arena 2015 - Chinese Pro Qualifiers,5,"$3,193",Brave Heart
World Cyber Arena 2015 - Chinese Pro Qualifiers,5,"$3,193",Vici Gaming Potential
World Cyber Arena 2015 - Chinese Pro Qualifiers,5,"$3,193",Vici Gaming
World Cyber Arena 2015 - Chinese Pro Qualifiers,9,"$3,193",Dream Gaming
World Cyber Arena 2015 - Chinese Pro Qualifiers,9,"$3,193",Energy Pacemaker
World Cyber Arena 2015 - Chinese Pro Qualifiers,9,"$3,193",Newbee Young
World Cyber Arena 2015 - Chinese Pro Qualifiers,9,"$3,193",TongFu
World Cyber Arena 2015 - Chinese Pro Qualifiers,9,"$3,193",Newbee
World Cyber Arena 2015 - Chinese Pro Qualifiers,9,"$3,193",Newbee.M
World Cyber Arena 2015 - Chinese Pro Qualifiers,9,"$3,193",Terror Blade !!
World Cyber Arena 2015 - Chinese Pro Qualifiers,9,"$3,193",Team DK
ECL 2015 Spring,1,"$20,859",Invictus Gaming
ECL 2015 Spring,2,"$8,023",CDEC Gaming
ECL 2015 Spring,3,"$3,209",LGD Gaming
ECL 2015 Spring,3,"$3,209",Dream Gaming
ECL 2015 Spring,3,"$3,209",Energy Pacemaker
ECL 2015 Spring,3,"$3,209",Vici Gaming Potential
ECL 2015 Spring,3,"$3,209",Brave Heart
ECL 2015 Spring,3,"$3,209",HyperGloryTeam
ECL 2015 Spring,3,"$3,209",EHOME
ECL 2015 Spring,3,"$3,209",Vici Gaming
ECL 2015 Spring,3,"$3,209",DUOBAO
ECL 2015 Spring,3,"$3,209",TongFu
ECL 2015 Spring,3,"$3,209",Team DK
ECL 2015 Spring,3,"$3,209",Newbee.M
ECL 2015 Spring,3,"$3,209",Newbee Young
ECL 2015 Spring,3,"$3,209",Terror Blade !!
World Cyber Arena 2015 - American Pro Qualifiers,1,"$50,000",Summer's Rift
World Cyber Arena 2015 - American Pro Qualifiers,2,"$20,000",Not Today
World Cyber Arena 2015 - American Pro Qualifiers,3,"$10,000",NA Rejects
World Cyber Arena 2015 - American Pro Qualifiers,3,"$10,000",ROOT Gaming
World Cyber Arena 2015 - American Pro Qualifiers,3,"$10,000",Wheel Whreck
World Cyber Arena 2015 - American Pro Qualifiers,3,"$10,000",Team Leviathan
World Cyber Arena 2015 - American Pro Qualifiers,3,"$10,000",Team eHug
World Cyber Arena 2015 - American Pro Qualifiers,3,"$10,000",Void Boys
MarsTV Dota 2 League 2015 Spring - Chinese League,1,"$32,274",LGD Gaming
MarsTV Dota 2 League 2015 Spring - Chinese League,2,"$20,171",EHOME
MarsTV Dota 2 League 2015 Spring - Chinese League,3,"$12,103",CDEC Gaming
MarsTV Dota 2 League 2015 Spring - Chinese League,4,"$8,069",Newbee
MarsTV Dota 2 League 2015 Spring - Chinese League,5,"$4,034",TongFu
MarsTV Dota 2 League 2015 Spring - Chinese League,5,"$4,034",HyperGloryTeam
MarsTV Dota 2 League 2015 Spring - Chinese League,5,"$4,034",Immortal Magneto
MarsTV Dota 2 League 2015 Spring - Chinese League,5,"$4,034",Team DK
2015 Red Bull Battle Grounds: Dota 2,1,"$38,561",Team Secret
2015 Red Bull Battle Grounds: Dota 2,2,"$25,239",Invictus Gaming
2015 Red Bull Battle Grounds: Dota 2,3,"$10,697",Team Malaysia
2015 Red Bull Battle Grounds: Dota 2,4,"$8,798",HellRaisers
2015 Red Bull Battle Grounds: Dota 2,5,"$5,000",Summer's Rift
MPGL/Season 7/SEA,1,"$30,000",MVP HOT6ix
MPGL/Season 7/SEA,2,"$10,000",Energy Pacemaker
MPGL/Season 7/SEA,3,"$7,000",Mineski
MPGL/Season 7/SEA,4,"$3,000",G Guard Esports
MPGL/Season 7/SEA,4,"$3,000",Signature.Trust
MPGL/Season 7/SEA,4,"$3,000",TNC Pro Team
MPGL/Season 7/SEA,4,"$3,000",Rex Regum Qeon
MPGL/Season 7/SEA,4,"$3,000",5eva
MPGL/Season 7/SEA,4,"$3,000",Ice
MPGL/Season 7/SEA,4,"$3,000",iDeal eSports
MPGL/Season 7/SEA,4,"$3,000",Underminer
MPGL/Season 7/SEA,4,"$3,000",United We Stand
RoG Play It Cool Dota 2 Invitational,1,"$12,500",Virtus.pro
RoG Play It Cool Dota 2 Invitational,2,"$7,500",Alliance
RoG Play It Cool Dota 2 Invitational,3,"$5,000",Ninjas in Pyjamas
RoG Play It Cool Dota 2 Invitational,3,"$5,000",Lemondogs
VPGame Pro League Season 1,1,"$12,899",Vici Gaming
VPGame Pro League Season 1,2,"$6,450",LGD Gaming
VPGame Pro League Season 1,3,"$4,837",TongFu
VPGame Pro League Season 1,3,"$4,837",CDEC Gaming
VPGame Pro League Season 1,3,"$4,837",HyperGloryTeam
VPGame Pro League Season 1,3,"$4,837",Invictus Gaming
VPGame Pro League Season 1,3,"$4,837",EHOME
VPGame Pro League Season 1,3,"$4,837",Newbee Young
VPGame Pro League Season 1,3,"$4,837",Energy Pacemaker
VPGame Pro League Season 1,3,"$4,837",Dream Gaming
VPGame Pro League Season 1,3,"$4,837",Vici Gaming Potential
VPGame Pro League Season 1,3,"$4,837",Newbee
VPGame Pro League Season 1,3,"$4,837",Team DK
VPGame Pro League Season 1,3,"$4,837",Terror Blade !!
VPGame Pro League Season 1,3,"$4,837",Newbee.M
VPGame Pro League Season 1,3,"$4,837",Brave Heart
Major All Stars Dota 2 Tournament,1,"$50,391",Invictus Gaming
Major All Stars Dota 2 Tournament,2,"$16,797",Team Empire
Major All Stars Dota 2 Tournament,3,"$11,198",Ninjas in Pyjamas
Major All Stars Dota 2 Tournament,4,"$11,198",Natus Vincere
Major All Stars Dota 2 Tournament,5,"$6,719",Invasion e-Sports
Major All Stars Dota 2 Tournament,5,"$6,719",Team Redemption
Major All Stars Dota 2 Tournament,7,"$4,479",Can't Say Wips
Major All Stars Dota 2 Tournament,7,"$4,479",Rave
ECL 2014 Autumn,1,"$16,161",Newbee
ECL 2014 Autumn,2,"$3,220",Invictus Gaming
ECL 2014 Autumn,3,"$1,610",LGD Gaming
ECL 2014 Autumn,3,"$1,610",Vici Gaming
ECL 2014 Autumn,3,"$1,610",TongFu
ECL 2014 Autumn,3,"$1,610",HyperGloryTeam
ECL 2014 Autumn,3,"$1,610",CDEC Gaming
ECL 2014 Autumn,3,"$1,610",LV Gaming
ECL 2014 Autumn,3,"$1,610",LAI Gaming
ECL 2014 Autumn,3,"$1,610",Speed Gaming.cn
OK.- Dota 2 Cup,1,"$24,000",Can't Say Wips
OK.- Dota 2 Cup,2,"$12,000",G Guard Esports
OK.- Dota 2 Cup,3,"$4,000",KingSurf
OK.- Dota 2 Cup,3,"$4,000",Mineski
OK.- Dota 2 Cup,3,"$4,000",Aces Gaming
OK.- Dota 2 Cup,3,"$4,000",Rex Regum Qeon
OK.- Dota 2 Cup,3,"$4,000",Insidious Idol
OK.- Dota 2 Cup,3,"$4,000",First Departure
G-League 2014,1,"$32,132",LGD Gaming
G-League 2014,2,"$8,033",CDEC Gaming
G-League 2014,3,"$1,607",Speed Gaming.cn
G-League 2014,3,"$1,607",Invictus Gaming
G-League 2014,3,"$1,607",LAI Gaming
G-League 2014,3,"$1,607",LV Gaming
G-League 2014,3,"$1,607",HyperGloryTeam
G-League 2014,3,"$1,607",Team DK
Korea Dota League Season 4,1,"$22,725",Rave
Korea Dota League Season 4,2,"$8,181",MVP Phoenix
Korea Dota League Season 4,3,"$5,454",Pokerface
Korea Dota League Season 4,4,"$5,000",Zephyr
Korea Dota League Season 4,5,"$3,636",MVP HOT6ix
Battle of Central Europe Season 3,1,"$21,000",Virtus.pro Polar
Battle of Central Europe Season 3,2,"$6,000",HellRaisers
Battle of Central Europe Season 3,3,"$3,000",LAJONS
Battle of Central Europe Season 3,3,"$3,000",Basically Unknown
Battle of Central Europe Season 3,3,"$3,000",Vega Squadron
Battle of Central Europe Season 3,3,"$3,000",Denial eSports
Battle of Central Europe Season 3,3,"$3,000",Album Sheets
Battle of Central Europe Season 3,3,"$3,000",mYinsanity
Battle of Central Europe Season 3,3,"$3,000",Balkan Bears
Battle of Central Europe Season 3,3,"$3,000",Power Rangers
Battle of Central Europe Season 3,3,"$3,000",Moscow Five Int
Battle of Central Europe Season 3,3,"$3,000",CCK
Battle of Central Europe Season 3,3,"$3,000",Virtus.pro
Battle of Central Europe Season 3,3,"$3,000",House of Gamers
Battle of Central Europe Season 3,3,"$3,000",KomandaMinus
Battle of Central Europe Season 3,3,"$3,000",Moscow Five
Esportal Dota 2 League Invitational Tournament 1,1,"$8,723",Team Empire
Esportal Dota 2 League Invitational Tournament 1,2,"$4,361",Virtus.pro Polar
Esportal Dota 2 League Invitational Tournament 1,3,"$1,558",mYinsanity
Esportal Dota 2 League Invitational Tournament 1,3,"$1,558",Alliance
Esportal Dota 2 League Invitational Tournament 1,5,$623,Virtus.pro
Esportal Dota 2 League Invitational Tournament 1,5,$623,Power Rangers
Esportal Dota 2 League Invitational Tournament 1,5,$623,Balkan Bears
Esportal Dota 2 League Invitational Tournament 1,5,$623,4 Friends + Chrillee
National Electronic Sports Open 2014,1,"$24,249",Newbee
National Electronic Sports Open 2014,2,"$12,933",CDEC Gaming
National Electronic Sports Open 2014,3,"$4,850",TongFu.WanZhou
National Electronic Sports Open 2014,3,"$4,850",Invictus Gaming
National Electronic Sports Open 2014,3,"$4,850",HyperGloryTeam
National Electronic Sports Open 2014,3,"$4,850",LGD Gaming
National Electronic Sports Open 2014,3,"$4,850",Newbee Young
National Electronic Sports Open 2014,3,"$4,850",LAI Gaming
IeSF 2014 World Championship,1,"$25,000",Newbee
IeSF 2014 World Championship,2,"$15,000",Romania
IeSF 2014 World Championship,3,"$10,000",Finland
IeSF 2014 World Championship,3,"$10,000",Wild Pandaz
IeSF 2014 World Championship,3,"$10,000",MVP Phoenix
IeSF 2014 World Championship,3,"$10,000",Raze
IeSF 2014 World Championship,3,"$10,000",Fiskestanga
IeSF 2014 World Championship,3,"$10,000",Click-Storm
IeSF 2014 World Championship,3,"$10,000",4 Friends + Chrillee
IeSF 2014 World Championship,3,"$10,000",The Mongolz
IeSF 2014 World Championship,3,"$10,000",StarPerci
IeSF 2014 World Championship,3,"$10,000",Mind Sports South Africa
IeSF 2014 World Championship,3,"$10,000",WhatATeam
IeSF 2014 World Championship,3,"$10,000",Team Egypt
MSI Beat IT 2014,1,"$29,146",Virtus.pro
MSI Beat IT 2014,2,"$14,639",Team Immunity
MSI Beat IT 2014,3,"$8,254",CDEC Gaming
MSI Beat IT 2014,3,"$8,254",Rave
MSI Beat IT 2014,3,"$8,254",Na`Vi North America
MSI Beat IT 2014,3,"$8,254",Bravado Emotion
MSI Beat IT 2014,3,"$8,254",Insidious Idol
MSI Beat IT 2014,3,"$8,254",Wired Gaming
Brasil Game Cup 2014,1,"$16,500",paiN Gaming
Brasil Game Cup 2014,2,"$6,200",Isurus Gaming
Brasil Game Cup 2014,3,"$2,100",Keyd Stars
Brasil Game Cup 2014,3,"$2,100",Not Today
Brasil Game Cup 2014,3,"$2,100",The House is Down
Brasil Game Cup 2014,3,"$2,100",CNB e-Sports Club
Brasil Game Cup 2014,3,"$2,100",Union Gaming
Brasil Game Cup 2014,3,"$2,100",INTZ eSports
Korea Dota League Season 3,1,"$38,622",MVP Phoenix
Korea Dota League Season 3,2,"$13,188",Pokerface
Korea Dota League Season 3,3,"$8,478",Rave
Korea Dota League Season 3,4,"$5,652",Zephyr
Sina Cup Supernova Dota 2 Open Season 5,1,"$8,141",Invictus Gaming
Sina Cup Supernova Dota 2 Open Season 5,2,"$4,884",Vici Gaming
Sina Cup Supernova Dota 2 Open Season 5,3,"$1,628",LAI Gaming
Sina Cup Supernova Dota 2 Open Season 5,4,$651,LGD.CDEC
Sina Cup Supernova Dota 2 Open Season 5,4,$651,HyperGloryTeam
Sina Cup Supernova Dota 2 Open Season 5,4,$651,LGD Gaming
Sina Cup Supernova Dota 2 Open Season 5,4,$651,TongFu
Sina Cup Supernova Dota 2 Open Season 5,4,$651,LV Gaming
Sina Cup Supernova Dota 2 Open Season 5,4,$651,Wings Gaming
Sina Cup Supernova Dota 2 Open Season 5,4,$651,Dream Gaming
Sina Cup Supernova Dota 2 Open Season 5,4,$651,WDL.u5
Sina Cup Supernova Dota 2 Open Season 5,4,$651,Speed Gaming.cn
NVIDIA Game 24,1,"$7,000",Cloud9
NVIDIA Game 24,2,"$4,000",Team Tinker
NVIDIA Game 24,3,"$2,000",Evil Geniuses
NVIDIA Game 24,3,"$2,000",Alliance
IeSF Asian Championships,1,"$5,000",MVP Phoenix
IeSF Asian Championships,2,"$3,000",MSI-EvoGT
IeSF Asian Championships,3,"$2,000",Arcanys
IeSF Asian Championships,3,"$2,000",The Prime
IeSF Asian Championships,3,"$2,000",Orange Esports
IeSF Asian Championships,3,"$2,000",MiTH.Trust
IeSF Asian Championships,3,"$2,000",Mineski
IeSF Asian Championships,3,"$2,000",The Mongolz
Game Show League Season 1,1,"$20,000",NVMI
Game Show League Season 1,2,"$10,000",Natus Vincere
Game Show League Season 1,3,"$7,000",Virtus.pro
Game Show League Season 1,3,"$7,000",Team Empire
Game Show League Season 1,5,"$3,000",Moscow Five
Game Show League Season 1,5,"$3,000",HellRaisers
Megafon Battle Arena,1,"$10,000",Team Tinker
Megafon Battle Arena,2,"$5,000",Natus Vincere
Megafon Battle Arena,2,"$5,000",Virtus.pro
Megafon Battle Arena,2,"$5,000",Team Empire
Korea Dota League Season 2,1,"$9,870",MVP Phoenix
Korea Dota League Season 2,1,"$9,870",Pokerface
V Games Tournament,1,"$8,021",Team DK
V Games Tournament,2,"$3,208",Newbee
V Games Tournament,3,"$1,604",Invictus Gaming
V Games Tournament,4,$802,Speed Gaming.cn
V Games Tournament,5,$321,LGD.CDEC
V Games Tournament,5,$321,HyperGloryTeam
V Games Tournament,5,$321,Vici Gaming
V Games Tournament,5,$321,TongFu.WanZhou
V Games Tournament,9,$160,Orenda
V Games Tournament,9,$160,CIS Game
V Games Tournament,9,$160,DT^Club
V Games Tournament,9,$160,LGD Gaming
WVW National Electronic Sports Classic/June,1,"$5,500",Invictus Gaming
WVW National Electronic Sports Classic/June,2,"$1,300",Newbee
WVW National Electronic Sports Classic/June,3,$400,Team DK
WVW National Electronic Sports Classic/June,3,$400,Vici Gaming
WVW National Electronic Sports Classic/June,5,$160,CIS Game
WVW National Electronic Sports Classic/June,5,$160,HyperGloryTeam
WVW National Electronic Sports Classic/June,5,$160,LGD Gaming
WVW National Electronic Sports Classic/June,5,$160,DT^Club
GEST The Challenge June,1,"$7,000",Invictus Gaming
GEST The Challenge June,2,"$2,000",Team DK
GEST The Challenge June,3,"$1,000",Newbee
