country,player,name,dob
Sweden,Sealkid,Elias Merta,
Russia,Sedoy,Vadim Musorin,1992-06-08
South Korea,SeleCT,Ryoo Kyung,1988-10-21
Netherlands,Seleri,Melchior Hillenkamp,
China,Guvara,Hu Sen,
China,September,Xue Zhichuan,
China,Shade,Gao Zhenxiong,
Philippines,Seven (Filipino player),Jhonel Jay,
Netherlands,SexyBamboe,Alaan Faraj,1992-01-20
Ukraine,Sh4dowehhh,Eugeniy Aleskeev,1996-06-23
Russia,Shachlo,Maxim Abramovskikh,1992-05-22
China,Shadow (player),Chu Zeyu,1997-03-21
China,Ripuck,Zhou Shengchao,
Ireland,Shaneomad,Shane Clarke,
Malaysia,Sharky,Raymond Wong,
Australia,Shatan,Alex Chang,
Netherlands,Sheever,Jorien van,1985-04-26
USA,Shiibbyy,Josh Trenholm,
China,Shiki,Huang Jiwei,1992-10-07
China,Shining,Zhang Jiabao,
USA,Shredder (player),Eric Sheeder,
Finland,Sifla,Olli Vidberg,
Indonesia,Signa,Adam Ozari,
Russia,Silent,Airat Gaziev,1992-12-03
Netherlands,SingSing,WehSing Yuen,1991-06-19
USA,SirActionSlacks,Jake Kanner,
Greece,SKANKS224,Ioannis Theodoridis,
Philippines,Skemberlu,Rolen Andrei,
Sweden,Skrff,Rikard Holm,1988-10-18
South Korea,Sky,Park Yongkyu,
Greece,SkyLark,Kharis Zafeiriou,
Denmark,Slahser,,
Russia,Slander,Dmitry Zhukov,
Bulgaria,SlashStrike,Stoyan Kralchev,
USA,Slayer,Scott Palmer,
Australia,SLiCKz,Trent Tucker,
Peru,SmAsH,Bryan Freddy,
Sweden,Smulgullig,Johan Gidmark,
USA,Sneyking,Jingjun Wu,1995-05-03
Australia,Snoopy,Trong Truong,
China,Sober,Liu Renrui,
Denmark,Solen,Sebastian Kjær,1992-07-09
Sweden,Solitude,Yousif Kutaiba,
Russia,Solo,Alexei Berezin,1990-08-07
China,Maybe,Lu Yao,1995-12-16
Russia,SoNNeikO,Akbar Butaev,1997-05-16
Brazil,Sooths,Pedro Luiz,
USA,Sovereign,Robert Dodge,
Finland,Spin,Ari Raimi,
China,Spotty,Yu Wenyuan,
Russia,SQreen,Khaled El,
China,Srf,Sun Runfa,
Greece,SsaSpartan,Giorgos Giannakopoulos,
China,Xll,Huo Xiaole,
Japan,STABA,Munehito Takekawa,
USA,Stan King,Stanley Yang,
Ukraine,State21,Vladislav Galushko,
Sweden,Steffstyle,Staffan Solin,
Peru,StingeR,Steven Vargas,1996-12-15
Bulgaria,Stomanen1,Nikolay Kalchev,
Sweden,Strangby,Philip Strängby,
China,Sugar baby,Li Yajun,1995-03-16
Pakistan,SumaiL,Syed Sumail,1999-02-13
South Korea,SunBhie,Lee Jeong,
Brazil,Sune,José Freitas,1991-06-16
Belarus,Sunlight,Kirill Kachinsky,1995-11-25
USA,SUNSfan,Shannon Scotten,1985-08-14
China,Super,Xie Junhao,1993-01-04
China,Super (Su Peng),Su Peng,1989-10-19
Poland,Supreme,Przemek Jankowski,
USA,SVG,Avery Silverman,
Serbia,Swiftending,Uro? Gali?,1993-07-01
India,Swifty,Jeet Kundra,
Malaysia,Syeonix,Byron Young,1998-10-02
China,Sylar,Liu Jiajun,1993-12-20
Denmark,SyndereN,Troels Lyngholt,1989-12-24
Norway,Taiga,Tommy Le,1999-07-04
Brazil,Tavo,Otávio Gabriel,1994-12-19
Canada,TC,Tyler Cook,1992-04-04
Philippines,Teehee,John Linuel,1995-11-20
Russia,The apathy,Andrey Aleshkov,
Brazil,Therence,Therence Coelho,1995-01-29
Brazil,Thiolicor,Thiago de,1999-08-10
Greece,ThuG,Dimitris Plivouris,
USA,TidesofTime,Andrew Biessener,1991-12-31
Peru,Timado,Enzo Gianoli,2000-09-06
Philippines,Tims,Timothy John,1997-07-04
Thailand,TnK,Trai Akaravinak,
Australia,TobiWan,Toby Dawson,1985-07-24
USA,Toffees,Steve Pierce,
China,Tone,Yang Jiachao,
Malaysia,TooFuckingGood,Daniel Wong,
Russia,TpoH,Maxim Vernikov,
USA,Tralf,Mark Seidl,
Canada,TrentPax,Trent MacKenzie,
Finland,Trixi,Kalle Saarinen,1989-12-28
Singapore,Tudi,Yao Wen,1996-09-02
Slovakia,Tulex,Michal Zima,
China,TuTu,Bai Fan,
Albania,TwiSta,Visar Zymberi,
Russia,Ubah,Ivan Kapustin,
Russia,UnderShock,Dmitry Bolshakov,
Denmark,Unicornxoxo,Jonathan Arge,
USA,UNiVeRsE,Saahil Arora,1989-10-11
USA,USH,Chris Usher,
Switzerland,V0ja,Adrien Putallaz,1988-07-12
Ukraine,V1lat,Vitalii Volochai,1986-08-08
Finland,Vaalix,Mikko Ristimäki,
Croatia,Vandersar,Aleksandar Miloshevich,1998-06-01
Peru,VanN,Juan Carlos,1994-06-15
Russia,VANSKOR,Ivan Skorokhod,1995-01-20
Australia,Velo,Kim Tae,1995-01-11
China,Victoria,Chen Guanhong,1995-11-05
Russia,Vigoss,Ivan Shinkarev,1987-10-31
Romania,W33,Aliwi Omar,1995-03-06
Sweden,Wagamama,Niklas Högström,
China,Waixi,Yan Chao,1996-11-12
Slovakia,Warlog,Martin Zima,
Canada,Waytosexy,Peter Nguy?n,1993-12-08
Singapore,Weddingcrash,Wong Wei,
Belarus,Wejustzik,Oleg Zinovenko,1991-09-02
Malaysia,Wenn,Neng Ee,
Sweden,Weppas,Johan Westberg,1992-03-23
China,White,Lei Yipei,
USA,WhiteBeard,Bryant Lehwald,
Russia,Windx,Yevgeny Vlasenko,
Malaysia,WinteR,Chan Litt,1989-08-21
USA,WwD,Will Davis,1996-01-21
Germany,WwieWambo,Felix Schipke,1995-03-15
Russia,XaKoH,Evgeny Kochetov,1990-07-13
Ukraine,XBOCT,Alexander Dashkevich,1990-12-29
China,XDD,Liu Silong,
Indonesia,Xepher,Kenny Deo,1996-06-27
Singapore,XFreedom,Nicholas Kelvin,1993-05-10
China,Luo,Luo Yinqi,1990-10-25
Malaysia,Xiangzai,Chiok Soon,
China,Xiao2lei,Meng Lei,1993-07-21
China,Xiao8,Zhang Ning,1989-11-14
China,Xiaofu,Zhuang Yongfu,
China,XiaoXiao,Ma Junju,
China,XinQ,Zhao Zixing,
Philippines,XLucky,Mark Louise,
Australia,MusiCa,Justin Yuen,1990-12-12
Malaysia,XNova-,Yap Jian,
Australia,XRag,Augustus John,1996-08-04
Malaysia,XtiNcT,Joel Chan,1988-10-16
China,Xtt,Xu Xuntao,
Canada,Xuan (Yixuan Guo),Guo Yixuan,
China,Xxs,Lin Jing,1999-08-21
China,XXSJ,Xiao Chaojian,
Singapore,Xy-,Toh Wai,1991-12-27
China,Xz,Chen Zezhi,1992-10-18
China,Y`,Zhang Yiping,1998-08-08
Indonesia,Yabyoo,Yusuf Kurniawan,1996-03-11
Philippines,Yaj,Jayjay Garan,1998-03-22
Malaysia,YamateH,Ng Wei,
China,Yang,Zhou Haiyang,1996-11-15
China,Yao,Yao Zhengzheng,1990-12-23
China,YaphetS,Bu Yanjun,1990-03-08
Jordan,YapzOr,Yazied Jaradat,1994-10-17
Pakistan,YawaR,Yawar Hassan,
China,YChen,Pan Shuaifang,
China,Yin,Fan Qihua,
Russia,Yoky-,Maxim Kim,1995-02-07
Russia,Yol,Vladimir Basov,1999-05-13
Singapore,Ysaera,Adrian Rui,
China,Ainiyo,Hu Zhiyi,
China,Yxl,Yang Xiaolei,
China,YYF,Jiang Cen,1987-02-03
Malaysia,Zacky,Tui Jun,
Sweden,Zai,Ludwig Wåhlberg,1997-08-05
Kyrgyzstan,Zayac,Bakyt Emilzhanov,1998-12-02
Italy,Zenigata,Tilen Simcic,
Sweden,Zeroji,Filip Erlandsson,
China,ZeroPerfect,Feng Yichuan,1992-09-05
China,ZExBinGo,Zeng Cong,
USA,Zfreek,Zakari Freedman,
China,Zhizhizhi,Jin Zhiyi,
China,Zhou,Chen Yao,1990-06-14
China,ZippO,Zhou Xiong,
Romania,Zizou,Andrei Zisu,
China,ZSMJ,Gong Jian,1990-01-11
Peru,Ztok,Jesus Carhuaricra,1995-05-18
Belarus,Zxc,Vitalii Kiyanichenko,
USA,Zyori,Andrew Campbell,1989-10-16
Mexico,Zyzz,Luis Perez,
Russia,????,Evgeniy Kuznetsov,1992-08-18
China,??,Lu Kang,
China,???,Lu Hao,
China,Yftx,Jiang An,
China,???,Zhan Yaoyang,
China,?A,Wang Xu,
China,?,Zhai Jingkai,
China,???,Wang Liang,1994-11-30
