,cog,player,name,dob,role,team,join,leave
1276,Russia,Fervian,Evgeniy Aksyonov,N/A,Support,Team Empire,2015-09-05,2015-??-??
1277,Russia,Fervian,Evgeniy Aksyonov,N/A,Support,Siberian Valenki Black,2015-12-06,2016-01-30
1278,Russia,Fervian,Evgeniy Aksyonov,N/A,Support,Prodota Gaming,2016-01-30,2016-02-15
1279,Russia,Fervian,Evgeniy Aksyonov,N/A,Support,Elements Pro Gaming,2016-03-27,2016-08-25
1280,Russia,Fervian,Evgeniy Aksyonov,N/A,Support,Hive,2017-02-23,2017-04-07
1281,Russia,Fervian,Evgeniy Aksyonov,N/A,Support,Crusaders,2017-04-07,2017-05-??
1282,Russia,Fervian,Evgeniy Aksyonov,N/A,Support,Hala Ares,2017-05-22,2017-09-??
1283,Poland,Fey,Filip Musialski,1999-06-16,Carry,Alternate aTTaX,2016-08-25,2016-??-??
1284,Poland,Fey,Filip Musialski,1999-06-16,Carry,Rocket Scientists,2017-0?-??,2017-09-08
1285,Poland,Fey,Filip Musialski,1999-06-16,Carry,Elements Pro Gaming,2017-09-08,017-11-28
1286,Sweden,Fishbone,Olle Sjöland,N/A,N/A,Team Infused,2011-12-21,2012-09-12
1287,Sweden,Fishbone,Olle Sjöland,N/A,N/A,Skånes Elit,2012-09-12,2012-10-18
1288,Sweden,Fishbone,Olle Sjöland,N/A,N/A,Pulse eSports,2012-10-18,2013-01-07
1289,Sweden,Five,Adam Grönberg,N/A,N/A,Team GO,2012-12-06,201?-??-??
1290,Sweden,Five,Adam Grönberg,N/A,N/A,Lemondogs,2015-12-02,2015-12-12
1291,Sweden,Five,Adam Grönberg,N/A,N/A,Spin2Win,2016-01-04,2016-03-25
1292,Sweden,Five,Adam Grönberg,N/A,N/A,COOKISS,2016-03-25,2016-04-19
1293,Sweden,Five,Adam Grönberg,N/A,N/A,4 Vikings + Dane,2016-04-19,2016-09-13
1294,Sweden,Five,Adam Grönberg,N/A,N/A,IKEA,2016-09-13,2017-03-09
1295,Sweden,Five,Adam Grönberg,N/A,N/A,4 protect five,2017-03-09,2017-09-18
1296,Sweden,Flens,Dennis Brofalk,1994-07-10,Carry,COOKISS,2016-01-13,2016-04-26
1297,Sweden,Flens,Dennis Brofalk,1994-07-10,Carry,Team Toast,2016-04-27,2016-07-27
1298,Sweden,Flens,Dennis Brofalk,1994-07-10,Carry,IKEA,2016-10-23,2017-03-??
1299,Sweden,Flens,Dennis Brofalk,1994-07-10,Carry,4 protect five,2017-07-31,2017-09-18
1300,Sweden,Flens,Dennis Brofalk,1994-07-10,Carry,Evil Corporation,2017-11-??,
1301,Russia,Flow,Alexander Sazonov,N/A,Offlaner,Duza Gaming,2015-04-22,2015-05-26
1302,Russia,Flow,Alexander Sazonov,N/A,Offlaner,Walrus Punch!,2015-09-22,2015-09-25
1303,Russia,Flow,Alexander Sazonov,N/A,Offlaner,Big Red Machine,2015-09-25,2015-10-06
1304,Russia,Flow,Alexander Sazonov,N/A,Offlaner,abnormalize,2015-1?-??,2015-1?-??
1305,Russia,Flow,Alexander Sazonov,N/A,Offlaner,Team Empire,2015-12-07,201?-??-??
1306,Russia,Flow,Alexander Sazonov,N/A,Offlaner,Prodota Gaming,2016-01-30,2016-02-??
1307,Russia,Flow,Alexander Sazonov,N/A,Offlaner,Elements Pro,2016-03-27,2016-08-25
1308,Russia,Flow,Alexander Sazonov,N/A,Offlaner,ZOKEN GAMING,2017-0?-??,2017-0?-??
1309,Russia,Flow,Alexander Sazonov,N/A,Offlaner,PiTER,2017-0?-??,2017-0?-??
1310,Russia,Flow,Alexander Sazonov,N/A,Offlaner,Double Dimension,2017-06-07,
1311,USA,FLUFFNSTUFF,Brian Lee,1992-08-02,Support,FIRE,2011-??-??,2012-02-16
1312,USA,FLUFFNSTUFF,Brian Lee,1992-08-02,Support,compLexity,2012-02-16,2012-12-07
1313,USA,FLUFFNSTUFF,Brian Lee,1992-08-02,Support,Team Liquid,2012-12-07,2014-03-26
1314,USA,FLUFFNSTUFF,Brian Lee,1992-08-02,Support,Sneaky Nyx Assassins,2014-04-03,2014-12-20
1315,USA,FLUFFNSTUFF,Brian Lee,1992-08-02,Support,FIRE,2014-12-20,2015-03-29
1316,USA,FLUFFNSTUFF,Brian Lee,1992-08-02,Support,ROOT Gaming,2015-03-29,2015-??-??
1317,USA,FLUFFNSTUFF,Brian Lee,1992-08-02,Support,FIRE,2015-08-23,2015-10-02
1318,USA,FLUFFNSTUFF,Brian Lee,1992-08-02,Support,Team Archon,2015-10-02,2016-03-19
1319,USA,FLUFFNSTUFF,Brian Lee,1992-08-02,Support,FIRE,2016-03-19,2016-03-26
1320,USA,FLUFFNSTUFF,Brian Lee,1992-08-02,Support,EverNovaS,2016-03-26,2016-05-12
1321,USA,FLUFFNSTUFF,Brian Lee,1992-08-02,Support,Kaipi,2016-09-13,2016-10-28
1322,USA,FLUFFNSTUFF,Brian Lee,1992-08-02,Support,FIRE,2017-01-17,2017-05-07
1323,Israel,Fly,Tal Aizik,1993-03-09,Support,Fnatic.EU,2012-03-30,2014-08-27
1324,Israel,Fly,Tal Aizik,1993-03-09,Support,Team Secret,2014-08-27,2014-12-16
1325,Israel,Fly,Tal Aizik,1993-03-09,Support,MeePwn'd,2015-01-10,2015-03-06
1326,Israel,Fly,Tal Aizik,1993-03-09,Support,CompLexity Gaming,2015-05-07,2015-08-28
1327,Israel,Fly,Tal Aizik,1993-03-09,Support,(monkey) Business,2015-08-28,2015-10-31
1328,Israel,Fly,Tal Aizik,1993-03-09,Support,OG,2015-10-31,
1329,USA,Fly.,Yao Linhui,N/A,Support,Top5,2013-??-??,2014-??-??
1330,USA,Fly.,Yao Linhui,N/A,Support,Void Boys,2014-11-18,2016-03-22
1331,China,Flyby,Su Lei,N/A,Carry,CDEC Avenger,2015-12-??,2016-09-17
1332,China,Flyby,Su Lei,N/A,Carry,CDEC Gaming,2016-09-17,2017-09-06
1333,China,Flyby,Su Lei,N/A,Carry,iG Vitality,2017-09-06,
1334,USA,FlyingZebra,Michael Stanus,N/A,Support,Team Leviathan,2014-??-??,2014-06-06
1335,USA,FlyingZebra,Michael Stanus,N/A,Support,FlipSid3 Tactics.NA,2014-06-06,2014-??-??
1336,USA,FlyingZebra,Michael Stanus,N/A,Support,ROOT Gaming,2014-07-06,2014-10-03
1337,USA,FlyingZebra,Michael Stanus,N/A,Support,Team Leviathan,2015-01-15,2015-08-18
1338,USA,FlyingZebra,Michael Stanus,N/A,Support,Team Imagine,2015-08-18,2015-09-23
1339,USA,FlyingZebra,Michael Stanus,N/A,Support,Team Leviathan,2015-09-23,2016-01-21
1340,USA,FlyingZebra,Michael Stanus,N/A,Support,Enemy,2016-01-24,2016-05-05
1341,USA,FlyingZebra,Michael Stanus,N/A,Support,Team Leviathan,2016-06-20,2016-??-??
1342,Philippines,Flysolo,Kenneth Coloma,1991-12-25,Support,RagingWePlay,2015-??-??,2015-10-31
1343,Philippines,Flysolo,Kenneth Coloma,1991-12-25,Support,Rave,2015-11-27,2016-03-12
1344,Philippines,Flysolo,Kenneth Coloma,1991-12-25,Support,Acion Arena,2016-03-18,2016-05-??
1345,Philippines,Flysolo,Kenneth Coloma,1991-12-25,Support,Power Gaming,2016-06-??,2016-07-24
1346,Philippines,Flysolo,Kenneth Coloma,1991-12-25,Support,Rave,2016-08-01,2016-12-29
1347,Philippines,Flysolo,Kenneth Coloma,1991-12-25,Support,Clutch Gamers,2016-12-29,2017-08-21
1348,Philippines,Flysolo,Kenneth Coloma,1991-12-25,Support,WarriorsGaming.Unity,2017-08-21,2017-09-26
1349,Philippines,Flysolo,Kenneth Coloma,1991-12-25,Support,Clutch Gamers,2017-09-26,
1350,Ukraine,Fn,Rostislav Lozovoi,N/A,Solo Middle,Insane Gaming,2014-03-17,2014-09-28
1351,Ukraine,Fn,Rostislav Lozovoi,N/A,Solo Middle,Nightcore,2014-09-28,2015-01-01
1352,Ukraine,Fn,Rostislav Lozovoi,N/A,Solo Middle,Little Busters 4ever,2015-01-14,2015-03-28
1353,Ukraine,Fn,Rostislav Lozovoi,N/A,Solo Middle,newteam123123,2015-08-20,2015-10-06
1354,Ukraine,Fn,Rostislav Lozovoi,N/A,Solo Middle,PRIES Gaming,2015-10-06,2015-10-??
1355,Ukraine,Fn,Rostislav Lozovoi,N/A,Solo Middle,Arcade.PowerRangers,2015-12-07,2015-12-28
1356,Ukraine,Fn,Rostislav Lozovoi,N/A,Solo Middle,Power Rangers,2015-12-28,2016-02-17
1357,Ukraine,Fn,Rostislav Lozovoi,N/A,Solo Middle,Vega Squadron,2016-03-22,2016-12-23
1358,Ukraine,Fn,Rostislav Lozovoi,N/A,Solo Middle,Team Empire,2017-01-08,
1359,Belarus,Fng,Artyom Barshack,1995-09-24,Support,Power Rangers,2013-08-31,2014-08-25
1360,Belarus,Fng,Artyom Barshack,1995-09-24,Support,Natus Vincere,2014-08-25,2014-11-07
1361,Belarus,Fng,Artyom Barshack,1995-09-24,Support,Virtus.pro Polar,2014-12-20,2015-01-18
1362,Belarus,Fng,Artyom Barshack,1995-09-24,Support,ASUS.Polar,2015-01-18,2015-04-15
1363,Belarus,Fng,Artyom Barshack,1995-09-24,Support,Virtus.pro,2015-04-15,2016-06-30
1364,Belarus,Fng,Artyom Barshack,1995-09-24,Support,Vega Squadron,2016-08-05,2016-11-13
1365,Belarus,Fng,Artyom Barshack,1995-09-24,Support,Team Spirit,2016-12-15,
1366,USA,Fogged,Ioannis Loucas,1989-12-12,Caster,PotM Bottom,2012-??-??,2012-09-22
1367,USA,Fogged,Ioannis Loucas,1989-12-12,Caster,Team Dignitas,2013-01-06,2013-09-19
1368,USA,Fogged,Ioannis Loucas,1989-12-12,Caster,Evil Geniuses,2013-09-19,2014-02-16
1369,USA,Fogged,Ioannis Loucas,1989-12-12,Caster,Team Dog,2014-02-16,2014-04-07
1370,USA,Fogged,Ioannis Loucas,1989-12-12,Caster,North American Rejects,2014-04-11,2014-06-03
1371,USA,Fogged,Ioannis Loucas,1989-12-12,Caster,Na'Vi North America,2014-06-03,2014-12-05
1372,USA,Fogged,Ioannis Loucas,1989-12-12,Caster,Team FIRE,2014-12-20,2015-02-06
1373,USA,Fogged,Ioannis Loucas,1989-12-12,Caster,Monib Baray,2015-02-25,2015-03-20
1374,USA,Fogged,Ioannis Loucas,1989-12-12,Caster,North American Rejects,2015-03-24,2015-07-03
1375,USA,Fogged,Ioannis Loucas,1989-12-12,Caster,Team Archon,2015-07-03,2015-08-30
1376,USA,Fogged,Ioannis Loucas,1989-12-12,Caster,High Council of Wizards&Priests,2015-08-30,2015-10-25
1377,USA,Fogged,Ioannis Loucas,1989-12-12,Caster,Steak Gaming,2015-12-02,2016-??-??
1378,China,Fonte,Lai Xingyu,1996-08-18,Carry,DUOBAO,2015-12-04,2016-08-??
1379,China,Fonte,Lai Xingyu,1996-08-18,Carry,MAX.X,2016-09-17,2016-11-11
1380,China,Fonte,Lai Xingyu,1996-08-18,Carry,DUOBAO,2016-12-12,2017-01-15
1381,China,Fonte,Lai Xingyu,1996-08-18,Carry,Team MAX,2017-01-15,
1382,South Korea,Forev,Lee Sang,1991-11-18,Offlaner,MVP Phoenix,2013-11-21,2015-02-26
1383,South Korea,Forev,Lee Sang,1991-11-18,Offlaner,MVP HOT6ix,2015-02-26,2015-12-08
1384,South Korea,Forev,Lee Sang,1991-11-18,Offlaner,MVP Phoenix,2015-12-08,2016-08-15
1385,South Korea,Forev,Lee Sang,1991-11-18,Offlaner,Team Secret,2016-08-27,2016-11-06
1386,South Korea,Forev,Lee Sang,1991-11-18,Offlaner,MVP Phoenix,2016-11-10,2016-12-30
1387,South Korea,Forev,Lee Sang,1991-11-18,Offlaner,B)ears,2016-12-30,2017-04-18
1388,South Korea,Forev,Lee Sang,1991-11-18,Offlaner,Digital Chaos,2017-05-08,2017-09-07
1389,South Korea,Forev,Lee Sang,1991-11-18,Offlaner,Team Pheonix,2017-09-07,2017-09-13
1390,South Korea,Forev,Lee Sang,1991-11-18,Offlaner,Immortals,2017-09-13,2017-12-30
1391,South Korea,Forev,Lee Sang,1991-11-18,Offlaner,Team World,2018-01-05,
1392,Philippines,Foxx,Jeffrey Fortunato,N/A,Carry,Neolution.int,2013-02-??,2013-??-??
1393,Philippines,Foxx,Jeffrey Fortunato,N/A,Carry,Execration,2014-06-01,2015-11-??
1394,USA,FrancisLee,Francis Lee,N/A,Offlaner,Team Leviathan,2015-07-23,2015-08-18
1395,USA,FrancisLee,Francis Lee,N/A,Offlaner,Team Imagine,2015-08-18,2015-09-23
1396,USA,FrancisLee,Francis Lee,N/A,Offlaner,Team Leviathan,2015-09-23,2015-??-??
1397,USA,FrancisLee,Francis Lee,N/A,Offlaner,Team Mischief,2015-12-04,2015-12-21
1398,USA,FrancisLee,Francis Lee,N/A,Offlaner,Team Freedom,2015-12-21,2016-05-18
1399,USA,FrancisLee,Francis Lee,N/A,Offlaner,EverNova,2016-05-29,2016-08-18
1400,USA,FrancisLee,Francis Lee,N/A,Offlaner,Doo Wop,2016-09-15,2017-01-08
1401,USA,FrancisLee,Francis Lee,N/A,Offlaner,is GG,2017-??-??,2017-05-23
1402,USA,FrancisLee,Francis Lee,N/A,Offlaner,Team Freedom,2017-05-23,2017-??-??
1403,USA,FrancisLee,Francis Lee,N/A,Offlaner,is GG,2017-08-??,2017-09-06
1404,USA,FrancisLee,Francis Lee,N/A,Offlaner,VGJ.Storm,2017-09-06,
1405,Sweden,Frigoleet,Jesper Göthe,N/A,Support,Out of Tangos,2012-??-??,2013-03-08
1406,Sweden,Frigoleet,Jesper Göthe,N/A,Support,Keita Gaming,2013-03-08,2013-07-??
1407,Sweden,Frigoleet,Jesper Göthe,N/A,Support,dargonblaydes,2013-07-??,2013-08-28
1408,Sweden,Frigoleet,Jesper Göthe,N/A,Support,Team Property,2013-08-28,2014-04-09
1409,Sweden,Frigoleet,Jesper Göthe,N/A,Support,Drakdräpare,2014-04-09,2014-04-11
1410,Sweden,Frigoleet,Jesper Göthe,N/A,Support,Monomaniac,2014-04-11,2014-05-20
1411,Sweden,Frigoleet,Jesper Göthe,N/A,Support,Team Coast,2014-05-20,2014-09-09
1412,Sweden,Frigoleet,Jesper Göthe,N/A,Support,4FC,2014-09-09,2015-01-01
1413,Sweden,Frigoleet,Jesper Göthe,N/A,Support,Lemondogs,2015-08-27,2015-12-13
1414,Canada,Fronz,Wilson Teng,N/A,Support,FDL,2016-04-29,2016-09-02
1415,Canada,Fronz,Wilson Teng,N/A,Support,Team Red,2017-05-26,2017-09-??
1416,USA,FROZEN,Ryan Davis,N/A,Support,Stratos eSports,2015-08-05,2015-11-09
1417,USA,FROZEN,Ryan Davis,N/A,Support,Astral Authority,2015-11-09,2015-12-06
1418,USA,FROZEN,Ryan Davis,N/A,Support,Enemy,2015-12-06,2016-06-??
1419,USA,FROZEN,Ryan Davis,N/A,Support,Exodus,2016-06-??,2016-09-??
1420,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,sFs,2010-??-??,2010-??-??
1421,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,Fota,2010-??-??,2010-??-??
1422,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,The Retry,2010-??-??,2011-??-??
1423,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,Hard Team,2011-??-??,2011-??-??
1424,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,eSahara,2011-11-??,2012-03-??
1425,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,DTS,2012-03-27,2012-05-20
1426,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,Darer,2012-05-24,2012-09-12
1427,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,Team Empire,2012-09-13,2013-02-27
1428,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,Natus Vincere,2013-02-27,2015-02-13
1429,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,Natus Vincere,2015-04-05,2015-10-16
1430,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,Team Empire,2015-12-07,2016-03-15
1431,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,Team Spirit,2016-03-15,2016-08-01
1432,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,LQ,2017-??-??,2017-03-16
1433,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,Double Dimension,2017-05-01,2017-05-26
1434,Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16,Offlaner,M19,2017-05-27,
1435,France,Funzii,Thibault Calonne,N/A,Solo Middle,Team Shakira,2011-??-??,2012-01-12
1436,France,Funzii,Thibault Calonne,N/A,Solo Middle,Western Wolves,2012-01-13,2012-04-15
1437,France,Funzii,Thibault Calonne,N/A,Solo Middle,mTw,2012-04-15,2012-09-18
1438,France,Funzii,Thibault Calonne,N/A,Solo Middle,DD.Dota,2013-02-04,2013-06-04
1439,France,Funzii,Thibault Calonne,N/A,Solo Middle,Quantic,2013-06-04,2013-09-10
1440,France,Funzii,Thibault Calonne,N/A,Solo Middle,WARMAKER,2014-01-15,2014-01-26
1441,France,Funzii,Thibault Calonne,N/A,Solo Middle,Zero Respect,2014-01-26,2014-??-??
1442,France,Funzii,Thibault Calonne,N/A,Solo Middle,Denial eSports,2014-09-19,2014-??-??
1443,China,Fusheng,Feng Zhichao,N/A,Offlaner,2144 Gaming.Shield,2014-10-27,2014-11-29
1444,China,Fusheng,Feng Zhichao,N/A,Offlaner,FTD club A,2015-09-15,2015-11-30
1445,China,Fusheng,Feng Zhichao,N/A,Offlaner,FTD club C,2015-12-07,2016-03-22
1446,China,Fusheng,Feng Zhichao,N/A,Offlaner,Void Boys,2016-03-22,2016-06-??
1447,China,Fusheng,Feng Zhichao,N/A,Offlaner,Rampage Gaming,2016-10-16,2017-05-03
1448,China,Fusheng,Feng Zhichao,N/A,Offlaner,C5Gaming,2017-05-03,
1449,China,Fy,Xu Linsen,1995-02-12,Support,Vici Gaming,2012-10-21,2016-03-19
1450,China,Fy,Xu Linsen,1995-02-12,Support,Vici Gaming Reborn,2016-03-19,2016-08-30
1451,China,Fy,Xu Linsen,1995-02-12,Support,Vici Gaming,2016-09-16,2016-12-26
1452,China,Fy,Xu Linsen,1995-02-12,Support,Team VGJ,2016-12-26,2017-09-04
1453,China,Fy,Xu Linsen,1995-02-12,Support,LGD Gaming,2017-09-04,
1454,China,Fyms,Wu Junying,N/A,Manager,Immortal Magneto Gaming,2014-09-09,2015-03-19
1455,China,Fyms,Wu Junying,N/A,Manager,EHOME,2015-03-22,2015-04-20
1456,China,Fyms,Wu Junying,N/A,Manager,EHOME.K,2015-04-25,2015-07-22
1457,China,Fyms,Wu Junying,N/A,Manager,EHOME.Keen,2015-12-??,2016-05-30
1458,China,Fyms,Wu Junying,N/A,Manager,EHOME.Keen,2015-09-17,2017-09-10
1459,China,Fyms,Wu Junying,N/A,Manager,Keen Gaming,2017-09-10,
1460,Malaysia,FzFz,Cheng Hor,N/A,Solo Middle,ABC,2013-03-07,2013-03-13
1461,Malaysia,FzFz,Cheng Hor,N/A,Solo Middle,MUFC,2013-03-13,201?-??-??
1462,Malaysia,FzFz,Cheng Hor,N/A,Solo Middle,Invasion e-Sports,201?-??-??,2015-04-02
1463,Malaysia,FzFz,Cheng Hor,N/A,Solo Middle,Underminer,2015-04-02,2016-??-??
1464,Malaysia,FzFz,Cheng Hor,N/A,Solo Middle,Genesis Pro Gaming,2017-10-??,2017-11-04
1465,Malaysia,FzFz,Cheng Hor,N/A,Solo Middle,818 Esports,2017-11-04,
1466,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,The Retry,2010-??-??,2010-12-27
1467,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,DTS.Chatrix,2010-12-27,2011-03-08
1468,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,Moscow Five,2011-03-21,2011-11-04
1469,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,Moscow Five,2011-03-21,2011-11-04
1470,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,Moscow Five,2011-12-07,2012-02-17
1471,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,Darer,2012-02-17,2012-09-12
1472,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,Absolute Legends,2012-09-24,2012-10-11
1473,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,LGD.int,2012-10-16,2013-08-29
1474,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,Virtus.pro,2013-08-29,2015-03-11
1475,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,ASUS.Polar,2015-04-04,2015-04-15
1476,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,Virtus.pro,2015-04-15,2016-06-30
1477,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,F.R.I.E.N.D.S.,2016-07-15,2016-09-12
1478,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,Team Empire,2016-09-12,2016-11-24
1479,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,Vega Squadron,2016-11-24,2017-03-31
1480,Russia,G,Sergey Alexandrovich,1992-04-16,Solo Middle,Vega Squadron,2017-04-09,2017-12-30
1481,Serbia,G0g1,Gordan Prosic,1988-10-19,Carry,Serious Gaming,2009-??-??,
1482,Serbia,G0g1,Gordan Prosic,1988-10-19,Carry,H2k Gaming,2011-06-??,2011-07-21
1483,Serbia,G0g1,Gordan Prosic,1988-10-19,Carry,Team Gamersleague,2011-07-31,2011-11-07
1484,Serbia,G0g1,Gordan Prosic,1988-10-19,Carry,Team Gamersleague,2011-07-31,2011-11-07
1485,Serbia,G0g1,Gordan Prosic,1988-10-19,Carry,Fnatic,2011-11-07,2012-03-22
1486,Serbia,G0g1,Gordan Prosic,1988-10-19,Carry,iNfernity Gaming,2013-??-??,2013-??-??
1487,Serbia,G0g1,Gordan Prosic,1988-10-19,Carry,Team ONE,2013-05-27,2014-04-06
1488,Serbia,G0g1,Gordan Prosic,1988-10-19,Carry,mYinsanity,2014-04-06,2014-07-31
1489,Serbia,G0g1,Gordan Prosic,1988-10-19,Carry,mYinsanity,2015-01-03,2015-??-??
1490,Serbia,G0g1,Gordan Prosic,1988-10-19,Carry,Spider Pigzs,2016-02-10,2015-06-03
1491,Serbia,G0g1,Gordan Prosic,1988-10-19,Carry,Elements One,2016-08-02,2016-08-25
1492,Serbia,G0g1,Gordan Prosic,1988-10-19,Carry,Elements Pro,2016-08-25,2017-06-02
1493,Philippines,Gabbi,Kim Villafuerte,1995-08-01,Carry,Acion Arena,2016-03-18,2016-07-29
1494,Philippines,Gabbi,Kim Villafuerte,1995-08-01,Carry,Execration,2016-09-13,2017-03-23
1495,Philippines,Gabbi,Kim Villafuerte,1995-08-01,Carry,Clutch Gamers,2017-03-23,2017-07-09
1496,Philippines,Gabbi,Kim Villafuerte,1995-08-01,Carry,Execration,2017-08-15,2018-01-15
1497,Philippines,Gabbi,Kim Villafuerte,1995-08-01,Carry,Team Admiral,2018-01-15,
1498,Brazil,Gambling,Fabio Fernandes,N/A,Support,South American Rejects,2014-08-06,2014-09-09
1499,Brazil,Gambling,Fabio Fernandes,N/A,Support,Keyd Stars,2014-09-09,2014-11-28
1500,Brazil,Gambling,Fabio Fernandes,N/A,Support,paiN Gaming,2015-06-30,2015-10-23
1501,Brazil,Gambling,Fabio Fernandes,N/A,Support,T Show,2015-10-23,2016-02-??
1502,Brazil,Gambling,Fabio Fernandes,N/A,Support,T Show,2016-09-15,2017-01-15
1503,Brazil,Gambling,Fabio Fernandes,N/A,Support,Midas Club Elite,2017-05-16,2017-06-20
1504,Brazil,Gambling,Fabio Fernandes,N/A,Support,Midas Club Elite,2017-06-20,2017-09-04
1505,Brazil,Gambling,Fabio Fernandes,N/A,Support,PaiN Gaming,2017-11-29,2017-12-30
1506,China,Garder,Liu Xinzhou,1989-04-17,Support,LGD.CDEC,2014-04-25,2014-10-14
1507,China,Garder,Liu Xinzhou,1989-04-17,Support,CDEC Gaming,2014-10-14,2016-08-30
1508,China,Garder,Liu Xinzhou,1989-04-17,Support,EHOME,2016-09-17,2017-01-01
1509,China,Garder,Liu Xinzhou,1989-04-17,Support,EHOME,2017-05-23,2017-09-02
1510,Albania,Garter,Ylli Ramadani,1991-09-26,Carry,Virus Gaming,2011-??-??,2011-??-??
1511,Albania,Garter,Ylli Ramadani,1991-09-26,Carry,Cede Nullis,2013-08-??,2013-12-??
1512,Albania,Garter,Ylli Ramadani,1991-09-26,Carry,Flipsid3 Tactics,2014-03-??,2014-04-??
1513,Albania,Garter,Ylli Ramadani,1991-09-26,Carry,mYinsanity,2014-04-??,2014-06-??
1514,Albania,Garter,Ylli Ramadani,1991-09-26,Carry,No Logic Gaming,2015-10-19,2015-11-04
1515,Albania,Garter,Ylli Ramadani,1991-09-26,Carry,Samurai Champloo,2015-01-02,2015-03-01
1516,Albania,Garter,Ylli Ramadani,1991-09-26,Carry,Prodota Gaming,2016-03-01,2017-06-25
1517,Albania,Garter,Ylli Ramadani,1991-09-26,Carry,Tuho,2017-07-31,2017-10-03
1518,Albania,Garter,Ylli Ramadani,1991-09-26,Carry,Team Leviathan,2017-10-15,2018-01-02
1519,China,END,Yang Pu,N/A,Carry,WPC Team A,2013-08-31,2013-10-03
1520,China,END,Yang Pu,N/A,Carry,TongFu.WanZhou,2013-10-03,2013-10-11
1521,China,END,Yang Pu,N/A,Carry,Orenda,2014-03-24,2014-09-12
1522,China,END,Yang Pu,N/A,Carry,LV Gaming,2014-09-12,2015-01-07
1523,China,END,Yang Pu,N/A,Carry,EHOME,2015-01-07,2015-09-01
1524,China,END,Yang Pu,N/A,Carry,Vici Gaming,2015-09-01,2015-12-04
1525,China,END,Yang Pu,N/A,Carry,Vici Gaming Potential,2015-12-04,2016-03-19
1526,China,END,Yang Pu,N/A,Carry,Vici Gaming Reborn,2016-03-19,2016-08-30
1527,China,END,Yang Pu,N/A,Carry,Vici Gaming,2016-09-15,2017-05-12
1528,China,END,Yang Pu,N/A,Carry,Vici Gaming,2017-05-12,2017-09-06
1529,China,END,Yang Pu,N/A,Carry,Invictus Gaming,2017-09-06,
1530,Ukraine,Gedrox,Vladislav Kozak,N/A,Carry,Yellow Submarine,2015-06-12,2015-08-27
1531,Ukraine,Gedrox,Vladislav Kozak,N/A,Carry,Team Bad English,2015-09-??,2015-12-08
1532,Ukraine,Gedrox,Vladislav Kozak,N/A,Carry,PRIES,2015-12-08,2016-02-25
1533,Ukraine,Gedrox,Vladislav Kozak,N/A,Carry,Team Bad English,2016-02-25,2016-??-??
1534,Ukraine,Gedrox,Vladislav Kozak,N/A,Carry,Question Mark,2016-??-??,2017-01-31
1535,Ukraine,Gedrox,Vladislav Kozak,N/A,Carry,PENTA Sports,2017-01-31,2017-03-05
1536,Ukraine,GeneRaL,Victor Nigrini,1996-08-05,Offlaner,Duza Gaming,2015-04-22,2015-06-08
1537,Ukraine,GeneRaL,Victor Nigrini,1996-08-05,Offlaner,sQreen's Squad,2015-06-08,2015-08-21
1538,Ukraine,GeneRaL,Victor Nigrini,1996-08-05,Offlaner,Teamless,2015-08-21,2015-09-04
1539,Ukraine,GeneRaL,Victor Nigrini,1996-08-05,Offlaner,ScaryFaceZ,2015-09-04,2015-10-23
1540,Ukraine,GeneRaL,Victor Nigrini,1996-08-05,Offlaner,Walrus Punch!,2015-10-30,2015-11-03
1541,Ukraine,GeneRaL,Victor Nigrini,1996-08-05,Offlaner,Team Empire,2015-11-03,2015-11-??
