,Nationality,PlayerName,Name,Birthday
532,Canada,PatSoul,Zheng Yukai,N/A
533,Russia,PGG,Vladimir Anosov,1990-11-13
534,China,Piao,Peng Renjie,1995-08-23
535,Sweden,Pieliedie,Johan Åström,N/A
536,Ukraine,Pikachu,Yaroslav Vasylenko,1997-04-13
537,Germany,PimpmuckL,Jonathan Liebig,N/A
538,Slovenia,Pingvincek,Jure Plešej,N/A
539,Sweden,Pinoy,Alexander Pettersson,N/A
540,South Korea,PLZDunKilme,Kim Sangho,N/A
541,Singapore,Poloson,Wilson Koh,1996-04-28
542,USA,Ppd,Peter Dager,1991-11-02
543,China,PrettyHaw,Zhao Jiabin,1992-09-16
544,Philippines,Primo,Peter Bondal,N/A
545,Czech Republic,Profheadshot,Martin Hála,N/A
546,Russia,PSM,Andrei Dunaev,1986-08-19
547,China,Puer tea,Xiang Xin,N/A
548,Estonia,Puppey,Clement Ivanov,1990-03-06
549,USA,Purge (Kevin Godec),Kevin Godec,1987-08-17
550,Serbia,PwN,Stefan Pavlovic,1994-04-30
551,United Kingdom,PyrionFlax,Ted Forsyth,1976-03-29
552,South Korea,PYung,Gwon Pyeong,N/A
553,China,Q,Fu Bin,1993-04-18
554,China,Qd,Zhao Shungeng,N/A
555,China,Qianqian,Li Wenyao,N/A
556,South Korea,QO,Kim Seon,1993-09-22
557,Germany,Qojqva,Maximilian Bröcker,N/A
558,China,QQQ,Yao Yi,1985-09-19
559,Ukraine,QwisTa,Mikhail Ilyashenko,N/A
560,Australia,R1sk,David Arnous,N/A
561,Thailand,R5r5,Nattapong Petkong,N/A
562,China,Rabbit,Wang Zhang,N/A
563,China,RampaGe,Chen Mingyang,1994-06-02
564,Russia,RAMZES666,Roman Kushnarev,1999-04-25
565,China,Ran,Fang Xu,N/A
566,Philippines,Rapy,Rafael Sicat,1996-11-08
567,Philippines,Raven,Marc Polo,1998-09-22
568,Greece,ReaLaxXx,Nikos Kiazolis,1991-07-30
569,USA,Reaves,N/A,N/A
570,China,Red,Sun Youjia,N/A
571,United Kingdom,Redeye,Paul Chaloner,1971-11-11
572,Sweden,Reelo,Oscar Ljungberg,N/A
573,Sweden,Reesion,David Siekas,N/A
574,South Korea,Reisen,Lee Jun,1993-03-04
575,China,Rem,Shen Chao,1995-05-15
576,Ukraine,Resolut1on,Roman Fominok,1996-09-02
577,Mongolia,Retribution,Temuulen Amarsaikhan,1996-10-30
578,United Kingdom,Rime,Robert Pratt,N/A
579,USA,Riser,Andrew Bronze,N/A
580,USA,Ritsu,Ravindu Kodippili,N/A
581,Germany,RMC,Philipp Pausewang,N/A
582,Germany,RmN-,Roman Paley,1993-12-17
583,Malaysia,Roddgeee,Roger Tan,1994-01-09
584,Russia,RodjER,Vladimir Nikogosyan,1993-12-14
585,China,Rong,Chen Jingwu,N/A
586,China,ROtK,Bai Fan,1992-03-13
587,Philippines,RR,Ralph Richard,1994-11-08
588,Kyrgyzstan,Runec,Bektur Kulov,1997-10-22
589,USA,Ryoya,Eric Dong,N/A
590,Philippines,RyOyr,Ryo Hasegawa,1992-10-03
591,USA,RyuUboruZ,Alan Andersen,N/A
592,Japan,Ryuya,Ryuya Ikeda,N/A
593,Denmark,Ryze,Christoffer Borregaard,1989-02-20
594,Sweden,S4,Gustav Magnusson,1992-04-01
595,China,Sag,Li Guo,1987-12-07
596,China,Luobo,Luo Yebo,1994-07-01
597,China,Fran,Xu Zichen,1995-07-21
598,Macedonia,Saksa,Martin Sazdov,1995-06-12
599,Philippines,Sam H,Samson Solomon,1994-12-12
600,Mongolia,SANKE,Od Nergui,1992-10-27
601,China,SanSheng,Wang Zhaohui,1989-06-13
602,Russia,Santa,Alexander Koltan,1989-06-10
603,China,Sayaka,Mao Mingyuan,N/A
604,Germany,Scabo,Dennis Niemczycki,N/A
605,Russia,Scandal,Roman Sadotenkov,1991-12-04
606,South Africa,Scant,Anthony Hodgson,N/A
607,China,Sccc,Song Chun,1995-08-18
608,Indonesia,SCL,Ruby Gunawan,N/A
609,Peru,Scofield,Elvis De,1998-04-29
610,Singapore,SCripted,Jonathan Lee,N/A
611,Thailand,SD,Noppadon Paopongprapun,N/A
612,Sweden,Sealkid,Elias Merta,N/A
613,Russia,Sedoy,Vadim Musorin,1992-06-08
614,South Korea,SeleCT,Ryoo Kyung,1988-10-21
615,Netherlands,Seleri,Melchior Hillenkamp,N/A
616,China,Guvara,Hu Sen,N/A
617,China,September,Xue Zhichuan,N/A
618,China,Shade,Gao Zhenxiong,N/A
619,Philippines,Seven (Filipino player),Jhonel Jay,N/A
620,Netherlands,SexyBamboe,Alaan Faraj,1992-01-20
621,Ukraine,Sh4dowehhh,Eugeniy Aleskeev,1996-06-23
622,Russia,Shachlo,Maxim Abramovskikh,1992-05-22
623,China,Shadow (player),Chu Zeyu,1997-03-21
624,China,Ripuck,Zhou Shengchao,N/A
625,Ireland,Shaneomad,Shane Clarke,N/A
626,Malaysia,Sharky,Raymond Wong,N/A
627,Australia,Shatan,Alex Chang,N/A
628,Netherlands,Sheever,Jorien van,1985-04-26
629,USA,Shiibbyy,Josh Trenholm,N/A
630,China,Shiki,Huang Jiwei,1992-10-07
631,China,Shining,Zhang Jiabao,N/A
632,USA,Shredder (player),Eric Sheeder,N/A
633,Finland,Sifla,Olli Vidberg,N/A
634,Indonesia,Signa,Adam Ozari,N/A
635,Russia,Silent,Airat Gaziev,1992-12-03
636,Netherlands,SingSing,WehSing Yuen,1991-06-19
637,USA,SirActionSlacks,Jake Kanner,N/A
638,Greece,SKANKS224,Ioannis Theodoridis,N/A
639,Philippines,Skemberlu,Rolen Andrei,N/A
640,Sweden,Skrff,Rikard Holm,1988-10-18
641,South Korea,Sky,Park Yongkyu,N/A
642,Greece,SkyLark,Kharis Zafeiriou,N/A
643,Denmark,Slahser,N/A,N/A
644,Russia,Slander,Dmitry Zhukov,N/A
645,Bulgaria,SlashStrike,Stoyan Kralchev,N/A
646,USA,Slayer,Scott Palmer,N/A
647,Australia,SLiCKz,Trent Tucker,N/A
648,Peru,SmAsH,Bryan Freddy,N/A
649,Sweden,Smulgullig,Johan Gidmark,N/A
650,USA,Sneyking,Jingjun Wu,1995-05-03
651,Australia,Snoopy,Trong Truong,N/A
652,China,Sober,Liu Renrui,N/A
653,Denmark,Solen,Sebastian Kjær,1992-07-09
654,Sweden,Solitude,Yousif Kutaiba,N/A
655,Russia,Solo,Alexei Berezin,1990-08-07
656,China,Maybe,Lu Yao,1995-12-16
657,Russia,SoNNeikO,Akbar Butaev,1997-05-16
658,Brazil,Sooths,Pedro Luiz,N/A
659,USA,Sovereign,Robert Dodge,N/A
660,Finland,Spin,Ari Raimi,N/A
661,China,Spotty,Yu Wenyuan,N/A
662,Russia,SQreen,Khaled El,N/A
663,China,Srf,Sun Runfa,N/A
664,Greece,SsaSpartan,Giorgos Giannakopoulos,N/A
665,China,Xll,Huo Xiaole,N/A
666,Japan,STABA,Munehito Takekawa,N/A
667,USA,Stan King,Stanley Yang,N/A
668,Ukraine,State21,Vladislav Galushko,N/A
669,Sweden,Steffstyle,Staffan Solin,N/A
670,Peru,StingeR,Steven Vargas,1996-12-15
671,Bulgaria,Stomanen1,Nikolay Kalchev,N/A
672,Sweden,Strangby,Philip Strängby,N/A
673,China,Sugar baby,Li Yajun,1995-03-16
674,Pakistan,SumaiL,Syed Sumail,1999-02-13
675,South Korea,SunBhie,Lee Jeong,N/A
676,Brazil,Sune,José Freitas,1991-06-16
677,Belarus,Sunlight,Kirill Kachinsky,1995-11-25
678,USA,SUNSfan,Shannon Scotten,1985-08-14
679,China,Super,Xie Junhao,1993-01-04
680,China,Super (Su Peng),Su Peng,1989-10-19
681,Poland,Supreme,Przemek Jankowski,N/A
682,USA,SVG,Avery Silverman,N/A
683,Serbia,Swiftending,Uroš Gali?,1993-07-01
684,India,Swifty,Jeet Kundra,N/A
685,Malaysia,Syeonix,Byron Young,1998-10-02
686,China,Sylar,Liu Jiajun,1993-12-20
687,Denmark,SyndereN,Troels Lyngholt,1989-12-24
688,Norway,Taiga,Tommy Le,1999-07-04
689,Brazil,Tavo,Otávio Gabriel,1994-12-19
690,Canada,TC,Tyler Cook,1992-04-04
691,Philippines,Teehee,John Linuel,1995-11-20
692,Russia,The apathy,Andrey Aleshkov,N/A
693,Brazil,Therence,Therence Coelho,1995-01-29
694,Brazil,Thiolicor,Thiago de,1999-08-10
695,Greece,ThuG,Dimitris Plivouris,N/A
696,USA,TidesofTime,Andrew Biessener,1991-12-31
697,Peru,Timado,Enzo Gianoli,2000-09-06
698,Philippines,Tims,Timothy John,1997-07-04
699,Thailand,TnK,Trai Akaravinak,N/A
700,Australia,TobiWan,Toby Dawson,1985-07-24
701,USA,Toffees,Steve Pierce,N/A
702,China,Tone,Yang Jiachao,N/A
703,Malaysia,TooFuckingGood,Daniel Wong,N/A
704,Russia,TpoH,Maxim Vernikov,N/A
705,USA,Tralf,Mark Seidl,N/A
706,Canada,TrentPax,Trent MacKenzie,N/A
707,Finland,Trixi,Kalle Saarinen,1989-12-28
708,Singapore,Tudi,Yao Wen,1996-09-02
709,Slovakia,Tulex,Michal Zima,N/A
710,China,TuTu,Bai Fan,N/A
711,Albania,TwiSta,Visar Zymberi,N/A
712,Russia,Ubah,Ivan Kapustin,N/A
713,Russia,UnderShock,Dmitry Bolshakov,N/A
714,Denmark,Unicornxoxo,Jonathan Arge,N/A
715,USA,UNiVeRsE,Saahil Arora,1989-10-11
716,USA,USH,Chris Usher,N/A
717,Switzerland,V0ja,Adrien Putallaz,1988-07-12
718,Ukraine,V1lat,Vitalii Volochai,1986-08-08
719,Finland,Vaalix,Mikko Ristimäki,N/A
720,Croatia,Vandersar,Aleksandar Miloshevich,1998-06-01
721,Peru,VanN,Juan Carlos,1994-06-15
722,Russia,VANSKOR,Ivan Skorokhod,1995-01-20
723,Australia,Velo,Kim Tae,1995-01-11
724,China,Victoria,Chen Guanhong,1995-11-05
725,Russia,Vigoss,Ivan Shinkarev,1987-10-31
726,Romania,W33,Aliwi Omar,1995-03-06
727,Sweden,Wagamama,Niklas Högström,N/A
728,China,Waixi,Yan Chao,1996-11-12
729,Slovakia,Warlog,Martin Zima,N/A
730,Canada,Waytosexy,Peter Nguy?n,1993-12-08
731,Singapore,Weddingcrash,Wong Wei,N/A
732,Belarus,Wejustzik,Oleg Zinovenko,1991-09-02
733,Malaysia,Wenn,Neng Ee,N/A
734,Sweden,Weppas,Johan Westberg,1992-03-23
735,China,White,Lei Yipei,N/A
736,USA,WhiteBeard,Bryant Lehwald,N/A
737,Russia,Windx,Yevgeny Vlasenko,N/A
738,Malaysia,WinteR,Chan Litt,1989-08-21
739,USA,WwD,Will Davis,1996-01-21
740,Germany,WwieWambo,Felix Schipke,1995-03-15
741,Russia,XaKoH,Evgeny Kochetov,1990-07-13
742,Ukraine,XBOCT,Alexander Dashkevich,1990-12-29
743,China,XDD,Liu Silong,N/A
744,Indonesia,Xepher,Kenny Deo,1996-06-27
745,Singapore,XFreedom,Nicholas Kelvin,1993-05-10
746,China,Luo,Luo Yinqi,1990-10-25
747,Malaysia,Xiangzai,Chiok Soon,N/A
748,China,Xiao2lei,Meng Lei,1993-07-21
749,China,Xiao8,Zhang Ning,1989-11-14
750,China,Xiaofu,Zhuang Yongfu,N/A
751,China,XiaoXiao,Ma Junju,N/A
752,China,XinQ,Zhao Zixing,N/A
753,Philippines,XLucky,Mark Louise,N/A
754,Australia,MusiCa,Justin Yuen,1990-12-12
755,Malaysia,XNova-,Yap Jian,N/A
756,Australia,XRag,Augustus John,1996-08-04
757,Malaysia,XtiNcT,Joel Chan,1988-10-16
758,China,Xtt,Xu Xuntao,N/A
759,Canada,Xuan (Yixuan Guo),Guo Yixuan,N/A
760,China,Xxs,Lin Jing,1999-08-21
761,China,XXSJ,Xiao Chaojian,N/A
762,Singapore,Xy-,Toh Wai,1991-12-27
763,China,Xz,Chen Zezhi,1992-10-18
764,China,Y`,Zhang Yiping,1998-08-08
765,Indonesia,Yabyoo,Yusuf Kurniawan,1996-03-11
766,Philippines,Yaj,Jayjay Garan,1998-03-22
767,Malaysia,YamateH,Ng Wei,N/A
768,China,Yang,Zhou Haiyang,1996-11-15
769,China,Yao,Yao Zhengzheng,1990-12-23
770,China,YaphetS,Bu Yanjun,1990-03-08
771,Jordan,YapzOr,Yazied Jaradat,1994-10-17
772,Pakistan,YawaR,Yawar Hassan,N/A
773,China,YChen,Pan Shuaifang,N/A
774,China,Yin,Fan Qihua,N/A
775,Russia,Yoky-,Maxim Kim,1995-02-07
776,Russia,Yol,Vladimir Basov,1999-05-13
777,Singapore,Ysaera,Adrian Rui,N/A
778,China,Ainiyo,Hu Zhiyi,N/A
779,China,Yxl,Yang Xiaolei,N/A
780,China,YYF,Jiang Cen,1987-02-03
781,Malaysia,Zacky,Tui Jun,N/A
782,Sweden,Zai,Ludwig Wåhlberg,1997-08-05
783,Kyrgyzstan,Zayac,Bakyt Emilzhanov,1998-12-02
784,Italy,Zenigata,Tilen Simcic,N/A
785,Sweden,Zeroji,Filip Erlandsson,N/A
786,China,ZeroPerfect,Feng Yichuan,1992-09-05
787,China,ZExBinGo,Zeng Cong,N/A
788,USA,Zfreek,Zakari Freedman,N/A
789,China,Zhizhizhi,Jin Zhiyi,N/A
790,China,Zhou,Chen Yao,1990-06-14
791,China,ZippO,Zhou Xiong,N/A
792,Romania,Zizou,Andrei Zisu,N/A
793,China,ZSMJ,Gong Jian,1990-01-11
794,Peru,Ztok,Jesus Carhuaricra,1995-05-18
795,Belarus,Zxc,Vitalii Kiyanichenko,N/A
796,USA,Zyori,Andrew Campbell,1989-10-16
797,Mexico,Zyzz,Luis Perez,N/A
798,Russia,????,Evgeniy Kuznetsov,1992-08-18
799,China,??,Lu Kang,N/A
800,China,???,Lu Hao,N/A
801,China,Yftx,Jiang An,N/A
802,China,???,Zhan Yaoyang,N/A
803,China,?A,Wang Xu,N/A
804,China,?,Zhai Jingkai,N/A
805,China,???,Wang Liang,1994-11-30
