,cog,player,name,dob,role,team,join,joinelo32,joinelo64,joinglicko,joinglickomu,joinglickophi,joinglickosigma,joinglicko2,joinglicko2mu,joinglicko2phi,joinglicko2sigma,leave,leaveelo32,leaveelo64,leaveglicko,leaveglickomu,leaveglickophi,leaveglickosigma,leaveglicko2,leaveglicko2mu,leaveglicko2phi,leaveglicko2sigma
229,Canada,Arteezy,Artour Babaev,1996-07-01,1,Team Secret,2016-03-22,1160.8896807278181,1264.5458421238654,1723.5310655161486,2045.903861647062,,128.94911845236538,1723.5310655161486,2045.903861647062,,128.94911845236538,2016-08-27,1058.937479735325,1063.0081815828783,1627.8633380287356,1957.185467460164,,131.72885177257143,1765.1109278388199,1957.185467460164,,131.72885177257143
230,Canada,Arteezy,Artour Babaev,1996-07-01,1,Evil Geniuses,2016-09-15,1152.8813646831254,1262.1838466673012,1568.110337215996,2047.0625583705719,,191.5808884618304,1568.110337215996,2047.0625583705719,,191.5808884618304,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
231,Ukraine,Artes,Artem Gorobey,1995-09-07,1,Kompas.Gaming,2014-03-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-10-30,1067.896342742613,1114.5687914585353,1701.7241147514012,1847.7611435976603,,58.41481153850361,1561.9413698294543,1847.7611435976603,,58.41481153850361
232,Ukraine,Artes,Artem Gorobey,1995-09-07,1,HellRaisers,2014-10-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-06-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
233,Ukraine,Artes,Artem Gorobey,1995-09-07,1,CIS Rejects,2015-09-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-10-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
234,Ukraine,Artes,Artem Gorobey,1995-09-07,1,Yellow Submarine,2015-10-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-12-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
235,Ukraine,Artes,Artem Gorobey,1995-09-07,1,Tarantula,2016-12-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-01-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
236,Ukraine,Artes,Artem Gorobey,1995-09-07,1,GUS Gaming,2017-01-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-03-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
237,Ukraine,Artes,Artem Gorobey,1995-09-07,1,Digital Geniuses,2017-07-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-0?-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
238,Ukraine,Artes,Artem Gorobey,1995-09-07,1,No Creativity,2017-08-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
239,Ukraine,Artstyle,Ivan Antonov,1989-04-20,2,DTS Gaming,2010-06-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2010-12-25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
240,Ukraine,Artstyle,Ivan Antonov,1989-04-20,2,Natus Vincere,2010-12-25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2011-10-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
241,Ukraine,Artstyle,Ivan Antonov,1989-04-20,2,Darer,2012-02-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-09-12,925.1487679224653,905.5877116180811,1136.0324936706384,1479.5464550592653,,137.40558455545082,1382.6209826083436,1479.5464550592653,,137.40558455545082
242,Ukraine,Artstyle,Ivan Antonov,1989-04-20,2,Team Kharkiv,2012-09-19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-10-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
243,Ukraine,Artstyle,Ivan Antonov,1989-04-20,2,Eclypsia,2012-10-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-11-11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
244,Ukraine,Artstyle,Ivan Antonov,1989-04-20,2,Relax,2014-08-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-08-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
245,Ukraine,Artstyle,Ivan Antonov,1989-04-20,2,HellRaisers,2014-08-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-10-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
246,Ukraine,Artstyle,Ivan Antonov,1989-04-20,2,Natasha ishet Parnya,2014-11-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-12-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
247,Ukraine,Artstyle,Ivan Antonov,1989-04-20,2,ScaryFaceZ,2014-11-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-03-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
248,Ukraine,Artstyle,Ivan Antonov,1989-04-20,2,Natus Vincere,2015-04-05,994.658764891274,988.0463881358511,1645.9028397132915,1790.233494395749,,57.73226187298298,1645.9028397132915,1790.233494395749,,57.73226187298298,2015-08-26,985.2828924308441,957.6892982905899,1357.9056565155734,1775.3216990745393,,166.9664170235864,1661.1962712093493,1775.3216990745393,,166.9664170235864
249,Ukraine,Artstyle,Ivan Antonov,1989-04-20,2,Natus Vincere,2015-09-02,985.9749464485515,959.6789073881944,1459.0876269967328,1770.7284797472705,,124.65634110021513,1459.0876269967328,1770.7284797472705,,124.65634110021513,2015-10-16,911.4562500149686,859.9955543495477,1154.1219056484224,1486.1838316148,,132.82477038655102,1583.3221483049786,1486.1838316148,,132.82477038655102
250,Ukraine,Artstyle,Ivan Antonov,1989-04-20,2,Natus Vincere,2015-12-08,991.6443658258037,995.5272704238682,1520.5532363773168,1760.2421693035215,,95.8755731704819,1520.5532363773168,1760.2421693035215,,95.8755731704819,2016-11-07,985.1125831517422,978.3830544229986,1437.012625770523,1786.9198249792107,,139.96287968347508,1731.1324299961677,1786.9198249792107,,139.96287968347508
251,Ukraine,Artstyle,Ivan Antonov,1989-04-20,2,Virtus.pro,2017-03-06,1122.9765880738325,1140.0242667427058,1898.2680351937465,2144.336435377646,,98.42736007355984,1898.2680351937465,2144.336435377646,,98.42736007355984,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
252,United Arab Emirates,Attacker,Mohammed Almheiri,1994-07-16,1,Last Resort Dubai,2015-12-27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-12-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
253,United Arab Emirates,Attacker,Mohammed Almheiri,1994-07-16,1,Samurai Champloo,2016-01-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
254,Canada,Aui 2000,Kurtis Daniel,1992-10-02,2,PotM Bottom,2012-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-09-22,1082.7861266506502,1133.1717140245496,1461.0458744719344,1773.514624501525,,124.9875000118363,1571.0644827992503,1773.514624501525,,124.9875000118363
255,Canada,Aui 2000,Kurtis Daniel,1992-10-02,2,Team Dignitas,2012-09-22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013-09-18,1092.081834481984,1138.5001422889936,1530.2362735489207,1748.261267027615,,87.20999739147774,1602.231089721883,1748.261267027615,,87.20999739147774
256,Canada,Aui 2000,Kurtis Daniel,1992-10-02,2,RSnake.int,2013-09-19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013-10-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
257,Canada,Aui 2000,Kurtis Daniel,1992-10-02,2,Speed.int,2013-10-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-02-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
258,Canada,Aui 2000,Kurtis Daniel,1992-10-02,2,Cloud9,2014-02-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-01-05,1126.9644192639093,1156.8613275584344,1975.6483935550389,2233.285385836589,,103.05479691262,1792.4307038310913,2233.285385836589,,103.05479691262
259,Canada,Aui 2000,Kurtis Daniel,1992-10-02,2,Evil Geniuses,2015-01-05,1109.2557969215275,1098.9144699072317,1718.9479512227172,1960.0855457346365,,96.45503780476778,1718.9479512227172,1960.0855457346365,,96.45503780476778,2015-08-14,1279.9091248168766,1459.885340883264,1932.1508856965356,2197.4229507251252,,106.10882601143585,1877.3817443272897,2197.4229507251252,,106.10882601143585
260,Canada,Aui 2000,Kurtis Daniel,1992-10-02,2,Digital Chaos,2015-08-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-03-25,1121.2986730140178,1180.1072944879215,1631.8491968947967,1920.601840359043,,115.50105738569856,1711.1693901133722,1920.601840359043,,115.50105738569856
261,Canada,Aui 2000,Kurtis Daniel,1992-10-02,2,Evil Geniuses,2016-03-25,1164.9134357081828,1202.0940366640925,1746.925125802144,2022.182444446961,,110.10292745792677,1746.925125802144,2022.182444446961,,110.10292745792677,2016-06-13,1039.9426479991598,1046.4902456205034,1505.4549171562778,1811.4225718966168,,122.38706189613559,1779.2628032587866,1811.4225718966168,,122.38706189613559
262,Canada,Aui 2000,Kurtis Daniel,1992-10-02,2,Team Secret,2016-06-13,1002.3303415535071,984.7446332925583,1432.5430838673292,1771.794019393874,,135.70037421061784,1432.5430838673292,1771.794019393874,,135.70037421061784,2016-08-19,1062.2727110714982,1066.5737711295335,1695.5501010945854,1957.185467460164,,104.65414654623147,1768.1420001005067,1957.185467460164,,104.65414654623147
263,Canada,Aui 2000,Kurtis Daniel,1992-10-02,2,Team NP,2016-09-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-07-20,1166.6886098947755,1248.7387720203626,1706.708929880483,2122.3308237194565,,166.2487575355894,1846.9968174213086,2122.3308237194565,,166.2487575355894
264,Canada,Aui 2000,Kurtis Daniel,1992-10-02,2,Cloud9,2017-07-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-08-23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
265,Canada,Aui 2000,Kurtis Daniel,1992-10-02,2,Animal Planet,2018-01-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
266,China,Awoke,Ye Jing,1987-11-30,2,IFNT,2009-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2009-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
267,China,Awoke,Ye Jing,1987-11-30,2,CYC,2009-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2009-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
268,China,Awoke,Ye Jing,1987-11-30,2,G5,2009-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2010-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
269,China,Awoke,Ye Jing,1987-11-30,2,TyLoo,2011-06-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2011-08-26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
270,China,Awoke,Ye Jing,1987-11-30,2,iG.Z,2011-08-26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2011-11-23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
271,China,Awoke,Ye Jing,1987-11-30,2,Tongfu,2012-05-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-10-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
272,Brazil,Baga,Th?rcio Medeiros,1994-03-31,2,Keyd Stars,2013-08-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013-12-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
273,Brazil,Baga,Th?rcio Medeiros,1994-03-31,2,Swagenteiger,2014-01-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-03-11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
274,Brazil,Baga,Th?rcio Medeiros,1994-03-31,2,CNB e-Sports Club,2014-03-11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-09-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
275,Brazil,Baga,Th?rcio Medeiros,1994-03-31,2,paiN Gaming,2014-09-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-06-30,961.8637800131747,937.8585820739466,1085.4745487460664,1547.928917692355,,184.98174757851547,1404.8634160657487,1547.928917692355,,184.98174757851547
276,Brazil,Baga,Th?rcio Medeiros,1994-03-31,2,INTZ eSports,2015-07-14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-09-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
277,Brazil,Baga,Th?rcio Medeiros,1994-03-31,2,T Show,2015-09-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-11-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
278,Brazil,Baga,Th?rcio Medeiros,1994-03-31,2,T Show,2016-03-26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-01-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
279,Brazil,Baga,Th?rcio Medeiros,1994-03-31,2,T Show.Old,2017-09-25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
280,Denmark,Balsam,Andreas L?chte,1991-10-27,1,QoQ,2007-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2008-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
281,Denmark,Balsam,Andreas L?chte,1991-10-27,1,RapE,2008-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2009-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
282,Denmark,Balsam,Andreas L?chte,1991-10-27,1,NORDIC eSports,2010-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2011-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
283,Denmark,Balsam,Andreas L?chte,1991-10-27,1,The Tough Bananas,2012-03-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-07-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
284,Denmark,Balsam,Andreas L?chte,1991-10-27,1,Copenhagen Wolves,2012-07-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-09-22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
285,Denmark,Balsam,Andreas L?chte,1991-10-27,1,Meet Your Makers,2012-10-01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-11-17,881.6754801217961,825.069368492169,1174.3099277649926,1374.3734248662563,,80.0253988405055,1235.1501413756453,1374.3734248662563,,80.0253988405055
286,Denmark,Balsam,Andreas L?chte,1991-10-27,1,TRICKED eSport,2013-12-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
287,Bulgaria,Bashruk,Ivan Valev,1996-12-12,2,Reasonable Doubt,2015-09-25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-03-24 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
288,Bulgaria,Bashruk,Ivan Valev,1996-12-12,2,PRIES,2016-03-25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-06-15 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
289,Bulgaria,Bashruk,Ivan Valev,1996-12-12,2,Rocket Scientists,2017-06-10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-11-16 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
290,Bulgaria,Bashruk,Ivan Valev,1996-12-12,2,Team Singularity,2017-11-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
291,United Kingdom,Beesa,Alder Beano,1993-12-24,1,Kaipi,2015-08-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-11-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
292,United Kingdom,Beesa,Alder Beano,1993-12-24,1,FDL,2016-04-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-12-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
293,Philippines,Benhur,Benhur Lawis,1997-03-05,1,Mineski,2016-03-27,1015.5973469535049,1057.8347920418794,1483.789223231938,1666.8495949011385,,73.2241486676802,1483.789223231938,1666.8495949011385,,73.2241486676802,2016-08-19,1092.052526589655,1147.5004206584765,1571.3044581663357,1787.4056638750617,,86.44048228349034,1610.2849440465438,1787.4056638750617,,86.44048228349034
294,Philippines,Benhur,Benhur Lawis,1997-03-05,1,HappyFeet,2016-12-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
295,Peru,Benjaz,Benjam?n Lanao,1993-09-30,1,Union Gaming,201?-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-02-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
296,Peru,Benjaz,Benjam?n Lanao,1993-09-30,1,Revenge eSports,2014-02-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-06-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
297,Peru,Benjaz,Benjam?n Lanao,1993-09-30,1,Union Gaming,2014-06-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
298,Peru,Benjaz,Benjam?n Lanao,1993-09-30,1,Balrogs,2015-05-10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-07-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
299,Peru,Benjaz,Benjam?n Lanao,1993-09-30,1,Team DileCom,2015-07-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-12-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
300,Peru,Benjaz,Benjam?n Lanao,1993-09-30,1,Not Today,2015-12-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-07-08,1016.9906360615453,1040.9499544089915,1277.4778025325018,1756.5459453519525,,191.62725712778027,1506.691650432599,1756.5459453519525,,191.62725712778027
301,Peru,Benjaz,Benjam?n Lanao,1993-09-30,1,Infamous,2016-07-08,913.3166285639448,875.3499430438566,1011.911659547848,1577.631196538805,,226.28781479638278,1011.911659547848,1577.631196538805,,226.28781479638278,2017-09-05,1041.3233621908116,1075.2155680552275,1370.6431689535143,1710.0827623983625,,135.77583737793924,1622.9944714136248,1710.0827623983625,,135.77583737793924
302,Peru,Benjaz,Benjam?n Lanao,1993-09-30,1,Infamous Young,2017-09-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303,Peru,Benjaz,Benjam?n Lanao,1993-09-30,1,White Dragons,2017-10-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-10-22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
304,Peru,Benjaz,Benjam?n Lanao,1993-09-30,1,Sacred,2017-10-22,1080.4734193319878,1123.277186224017,1347.5874572461694,1666.5435201892285,,127.58242517722367,1347.5874572461694,1666.5435201892285,,127.58242517722367,2018-01-??,975.5442846757691,933.2367009600789,1181.9257328633557,1596.5809568528382,,165.862089595793,1513.2095101772293,1596.5809568528382,,165.862089595793
305,Peru,Benjaz,Benjam?n Lanao,1993-09-30,1,Mad Kings,2018-01-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
306,Philippines,Bimbo,Ryan Jay,1995-11-15,1,Mineski,2011-10-??,1115.4989282630306,1147.7032625271163,1787.1707956556083,2030.1074388193833,,97.17465726550999,1787.1707956556083,2030.1074388193833,,97.17465726550999,2014-07-28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
307,Philippines,Bimbo,Ryan Jay,1995-11-15,1,Execration,2014-08-22,988.5172998151221,970.2751176981868,954.5476545533795,1712.1562157692904,,303.04342448636436,954.5476545533795,1712.1562157692904,,303.04342448636436,2014-10-29,992.8081401021327,981.3826725810742,1321.9973010639237,1969.1041741483568,,258.84274923377325,1476.5166789854147,1969.1041741483568,,258.84274923377325
308,Philippines,Bimbo,Ryan Jay,1995-11-15,1,Mineski,2014-11-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-05-21,1112.3079251423328,1173.1801205575136,1613.8791103317608,1905.1797401337208,,116.52025192078396,1707.1413418187478,1905.1797401337208,,116.52025192078396
309,Philippines,Bimbo,Ryan Jay,1995-11-15,1,Execration,2017-06-22,998.9089546516809,1019.1624949752631,1112.5079989340343,1714.6493234159254,,240.85652979275648,1112.5079989340343,1714.6493234159254,,240.85652979275648,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
310,USA,Bkid,Josh Choi,1989-05-08,2,Dream Destroyers,2014-05-01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
311,Germany,Black^,Dominik Reitmeier,1993-05-27,1,Gamersleague,2011-11-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-01-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
312,Germany,Black^,Dominik Reitmeier,1993-05-27,1,Next.kz,2012-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-03-26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
313,Germany,Black^,Dominik Reitmeier,1993-05-27,1,mousesports,2012-05-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-10-16,1002.2256218388278,1011.7574639387113,1381.1295104701778,1654.246619343631,,109.24684354938128,1522.4592888046911,1654.246619343631,,109.24684354938128
314,Germany,Black^,Dominik Reitmeier,1993-05-27,1,The GD B-Team,2012-10-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-10-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
315,Germany,Black^,Dominik Reitmeier,1993-05-27,1,Team Zero,2012-10-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-11-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
316,Germany,Black^,Dominik Reitmeier,1993-05-27,1,mousesports,2012-11-21,1001.7372943910639,1009.1777389121145,1130.2304410061738,1654.246619343631,,209.60647133498284,1130.2304410061738,1654.246619343631,,209.60647133498284,2013-09-14,1051.2847510018937,1030.25337688259,1494.6032812236926,1831.8231421551616,,134.88794437258758,1656.2717350533267,1831.8231421551616,,134.88794437258758
317,Germany,Black^,Dominik Reitmeier,1993-05-27,1,LGD.int,2013-09-14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013-12-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
318,Germany,Black^,Dominik Reitmeier,1993-05-27,1,CIS Game,2014-03-27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-07-28,976.0644285983898,988.451347743729,1200.0452117217371,1668.96071000291,,187.56619931246917,1466.2353542501432,1668.96071000291,,187.56619931246917
319,Germany,Black^,Dominik Reitmeier,1993-05-27,1,Vici Gaming,2014-08-26,1190.873995913407,1293.3702085820337,1616.0955359835802,1971.4604164148795,,142.14595217251974,1616.0955359835802,1971.4604164148795,,142.14595217251974,2015-02-11,1194.7808519518594,1308.2780556204918,1977.9156558338223,2149.1866635468928,,68.50840308522817,1856.3511617597062,2149.1866635468928,,68.50840308522817
320,Germany,Black^,Dominik Reitmeier,1993-05-27,1,Team Tinker,2015-03-10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-05-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
321,Germany,Black^,Dominik Reitmeier,1993-05-27,1,mousesports,2015-05-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-07-16,1013.7202431751516,1025.9021976985582,1381.8892476712758,1876.8000423923545,,197.96431788843142,1616.9397031488065,1876.8000423923545,,197.96431788843142
322,Germany,Black^,Dominik Reitmeier,1993-05-27,1,Fnatic,2015-08-26,981.4670094578188,985.3347817765443,1390.0310402496018,1810.962898059709,,168.37274312404287,1390.0310402496018,1810.962898059709,,168.37274312404287,2015-12-03,1046.026426466535,1048.7006064556504,1714.309989213637,1930.3207700959435,,86.4043123529226,1737.3485177944565,1930.3207700959435,,86.4043123529226
